Disease type,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Respiratory diseases affecting interstitium,Central Coast LHD,2016-2018,5.2,4.2,6.5
Respiratory diseases affecting interstitium,Central Coast LHD,2017-2019,5.3,4.2,6.5
Respiratory diseases affecting interstitium,Central Coast LHD,2018-2020,5,4,6.2
Respiratory diseases affecting interstitium,Central Coast LHD,2019-2021,5.3,4.3,6.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2001-2003,3.9,3.2,4.7
Respiratory diseases affecting interstitium,Hunter New England LHD,2002-2004,3.6,2.9,4.3
Respiratory diseases affecting interstitium,Hunter New England LHD,2003-2005,3.3,2.6,4
Respiratory diseases affecting interstitium,Hunter New England LHD,2004-2006,3.7,3.1,4.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2005-2007,3.9,3.2,4.7
Respiratory diseases affecting interstitium,Hunter New England LHD,2006-2008,4.6,3.9,5.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2007-2009,4.7,4,5.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2008-2010,5,4.3,5.9
Respiratory diseases affecting interstitium,Hunter New England LHD,2009-2011,4.7,4,5.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2010-2012,4.7,4.1,5.5
Respiratory diseases affecting interstitium,Hunter New England LHD,2011-2013,5.1,4.4,5.9
Respiratory diseases affecting interstitium,Hunter New England LHD,2012-2014,5.3,4.6,6.1
Respiratory diseases affecting interstitium,Hunter New England LHD,2013-2015,5,4.3,5.8
Respiratory diseases affecting interstitium,Hunter New England LHD,2014-2016,4.6,4,5.4
Respiratory diseases affecting interstitium,Hunter New England LHD,2015-2017,4.6,4,5.3
Respiratory diseases affecting interstitium,Hunter New England LHD,2016-2018,4.7,4,5.4
Respiratory diseases affecting interstitium,Hunter New England LHD,2017-2019,4.7,4.1,5.4
Respiratory diseases affecting interstitium,Hunter New England LHD,2018-2020,4.6,4,5.3
Respiratory diseases affecting interstitium,Hunter New England LHD,2019-2021,4.8,4.2,5.5
Respiratory diseases affecting interstitium,Northern NSW LHD,2001-2003,3.2,2.2,4.5
Respiratory diseases affecting interstitium,Northern NSW LHD,2002-2004,2.8,1.9,4
Respiratory diseases affecting interstitium,Northern NSW LHD,2003-2005,3.1,2.1,4.3
Respiratory diseases affecting interstitium,Northern NSW LHD,2004-2006,3.3,2.4,4.6
Respiratory diseases affecting interstitium,Northern NSW LHD,2005-2007,4.2,3.2,5.6
Respiratory diseases affecting interstitium,Northern NSW LHD,2006-2008,4.5,3.4,5.9
Respiratory diseases affecting interstitium,Northern NSW LHD,2007-2009,4.5,3.4,5.9
Respiratory diseases affecting interstitium,Northern NSW LHD,2008-2010,3.9,2.9,5.2
Respiratory diseases affecting interstitium,Northern NSW LHD,2009-2011,4.1,3.1,5.4
Respiratory diseases affecting interstitium,Northern NSW LHD,2010-2012,4.2,3.2,5.5
Respiratory diseases affecting interstitium,Northern NSW LHD,2011-2013,4.2,3.2,5.5
Respiratory diseases affecting interstitium,Northern NSW LHD,2012-2014,5.3,4.1,6.6
Respiratory diseases affecting interstitium,Northern NSW LHD,2013-2015,5,3.9,6.3
Respiratory diseases affecting interstitium,Northern NSW LHD,2014-2016,5.6,4.5,6.9
Respiratory diseases affecting interstitium,Northern NSW LHD,2015-2017,4.1,3.2,5.3
Respiratory diseases affecting interstitium,Northern NSW LHD,2016-2018,4.6,3.6,5.8
Respiratory diseases affecting interstitium,Northern NSW LHD,2017-2019,4.1,3.2,5.2
Respiratory diseases affecting interstitium,Northern NSW LHD,2018-2020,4.5,3.6,5.7
Respiratory diseases affecting interstitium,Northern NSW LHD,2019-2021,4.9,3.9,6.2
Respiratory diseases affecting interstitium,Mid North Coast LHD,2001-2003,4.9,3.5,6.8
Respiratory diseases affecting interstitium,Mid North Coast LHD,2002-2004,5.2,3.8,7.1
Respiratory diseases affecting interstitium,Mid North Coast LHD,2003-2005,5,3.6,6.9
Respiratory diseases affecting interstitium,Mid North Coast LHD,2004-2006,3.9,2.7,5.6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2005-2007,3.5,2.4,5.1
Respiratory diseases affecting interstitium,Mid North Coast LHD,2006-2008,2.9,1.9,4.4
Respiratory diseases affecting interstitium,Mid North Coast LHD,2007-2009,3.2,2.2,4.6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2008-2010,3.4,2.3,4.9
Respiratory diseases affecting interstitium,Mid North Coast LHD,2009-2011,3.9,2.7,5.4
Respiratory diseases affecting interstitium,Mid North Coast LHD,2010-2012,4,2.9,5.5
Respiratory diseases affecting interstitium,Mid North Coast LHD,2011-2013,3.8,2.8,5.3
Respiratory diseases affecting interstitium,Mid North Coast LHD,2012-2014,4.4,3.3,5.9
Respiratory diseases affecting interstitium,Mid North Coast LHD,2013-2015,4.5,3.4,6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2014-2016,5,3.7,6.6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2015-2017,5.1,3.8,6.7
Respiratory diseases affecting interstitium,Mid North Coast LHD,2016-2018,5,3.7,6.6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2017-2019,4.5,3.4,6
Respiratory diseases affecting interstitium,Mid North Coast LHD,2018-2020,4,3,5.4
Respiratory diseases affecting interstitium,Mid North Coast LHD,2019-2021,4.8,3.7,6.3
Respiratory diseases affecting interstitium,Southern NSW LHD,2001-2003,2.3,1.2,3.9
Respiratory diseases affecting interstitium,Southern NSW LHD,2002-2004,2.4,1.3,4.1
Respiratory diseases affecting interstitium,Southern NSW LHD,2003-2005,3.7,2.4,5.7
Respiratory diseases affecting interstitium,Southern NSW LHD,2004-2006,3.8,2.4,5.8
Respiratory diseases affecting interstitium,Southern NSW LHD,2005-2007,3.7,2.4,5.6
Respiratory diseases affecting interstitium,Southern NSW LHD,2006-2008,3.5,2.2,5.3
Respiratory diseases affecting interstitium,Southern NSW LHD,2007-2009,3.8,2.5,5.6
Respiratory diseases affecting interstitium,Southern NSW LHD,2008-2010,4,2.7,5.8
Respiratory diseases affecting interstitium,Southern NSW LHD,2009-2011,3.8,2.5,5.5
Respiratory diseases affecting interstitium,Southern NSW LHD,2010-2012,3.3,2.2,4.9
Respiratory diseases affecting interstitium,Southern NSW LHD,2011-2013,3.5,2.4,5.1
Respiratory diseases affecting interstitium,Southern NSW LHD,2012-2014,3.7,2.5,5.2
Respiratory diseases affecting interstitium,Southern NSW LHD,2013-2015,4.9,3.5,6.7
Respiratory diseases affecting interstitium,Southern NSW LHD,2014-2016,5.8,4.3,7.7
Respiratory diseases affecting interstitium,Southern NSW LHD,2015-2017,6.7,5.1,8.7
Respiratory diseases affecting interstitium,Southern NSW LHD,2016-2018,5.7,4.2,7.5
Respiratory diseases affecting interstitium,Southern NSW LHD,2017-2019,6.1,4.7,8
Respiratory diseases affecting interstitium,Southern NSW LHD,2018-2020,5.7,4.3,7.5
Respiratory diseases affecting interstitium,Southern NSW LHD,2019-2021,6.6,5.1,8.4
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2001-2003,3.8,2.6,5.4
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2002-2004,4.2,2.9,5.9
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2003-2005,4,2.7,5.6
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2004-2006,3.8,2.6,5.3
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2005-2007,3.2,2.1,4.6
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2006-2008,3.6,2.5,5.2
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2007-2009,2.6,1.7,4
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2008-2010,4.6,3.4,6.3
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2009-2011,4.8,3.5,6.4
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2010-2012,5.4,4.1,7.1
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2011-2013,4.1,3,5.6
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2012-2014,4.6,3.4,6.1
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2013-2015,4.7,3.5,6.2
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2014-2016,5.6,4.3,7.2
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2015-2017,5.8,4.4,7.4
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2016-2018,5.2,4,6.8
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2017-2019,3.9,2.8,5.3
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2018-2020,3.6,2.6,5
Respiratory diseases affecting interstitium,Murrumbidgee LHD,2019-2021,4.3,3.2,5.7
Respiratory diseases affecting interstitium,Western NSW LHD,2001-2003,6.4,4.8,8.4
Respiratory diseases affecting interstitium,Western NSW LHD,2002-2004,5.7,4.2,7.6
Respiratory diseases affecting interstitium,Western NSW LHD,2003-2005,4.6,3.3,6.3
Respiratory diseases affecting interstitium,Western NSW LHD,2004-2006,4.5,3.2,6.1
Respiratory diseases affecting interstitium,Western NSW LHD,2005-2007,4.6,3.3,6.2
Respiratory diseases affecting interstitium,Western NSW LHD,2006-2008,5.9,4.4,7.8
Respiratory diseases affecting interstitium,Western NSW LHD,2007-2009,5.5,4.1,7.3
Respiratory diseases affecting interstitium,Western NSW LHD,2008-2010,5.4,4,7.1
Respiratory diseases affecting interstitium,Western NSW LHD,2009-2011,4.5,3.3,6.1
Respiratory diseases affecting interstitium,Western NSW LHD,2010-2012,5.4,4.1,7
Respiratory diseases affecting interstitium,Western NSW LHD,2011-2013,5.2,3.9,6.8
Respiratory diseases affecting interstitium,Western NSW LHD,2012-2014,4.9,3.7,6.5
Respiratory diseases affecting interstitium,Western NSW LHD,2013-2015,4.4,3.2,5.8
Respiratory diseases affecting interstitium,Western NSW LHD,2014-2016,4.6,3.4,6.1
Respiratory diseases affecting interstitium,Western NSW LHD,2015-2017,5.1,3.9,6.6
Respiratory diseases affecting interstitium,Western NSW LHD,2016-2018,5.6,4.3,7.2
Respiratory diseases affecting interstitium,Western NSW LHD,2017-2019,6,4.7,7.6
Respiratory diseases affecting interstitium,Western NSW LHD,2018-2020,6.2,4.8,7.8
Respiratory diseases affecting interstitium,Western NSW LHD,2019-2021,5.8,4.5,7.4
Respiratory diseases affecting interstitium,Far West LHD,2001-2003,6,2.4,12.7
Respiratory diseases affecting interstitium,Far West LHD,2002-2004,6.9,3,13.8
Respiratory diseases affecting interstitium,Far West LHD,2003-2005,8,3.6,15.5
Respiratory diseases affecting interstitium,Far West LHD,2004-2006,6.1,2.4,12.9
Respiratory diseases affecting interstitium,Far West LHD,2005-2007,4.4,1.4,10.8
Respiratory diseases affecting interstitium,Far West LHD,2006-2008,5.3,2.1,11.5
Respiratory diseases affecting interstitium,Far West LHD,2007-2009,6.1,2.6,12.5
Respiratory diseases affecting interstitium,Far West LHD,2008-2010,7,3.2,13.8
Respiratory diseases affecting interstitium,Far West LHD,2009-2011,5.6,2.2,12
Respiratory diseases affecting interstitium,Far West LHD,2010-2012,4,1.3,10
Respiratory diseases affecting interstitium,Far West LHD,2011-2013,5.6,2.2,12.1
Respiratory diseases affecting interstitium,Far West LHD,2012-2014,4.7,1.7,10.9
Respiratory diseases affecting interstitium,Far West LHD,2013-2015,6.2,2.3,13.6
Respiratory diseases affecting interstitium,Far West LHD,2014-2016,3,0.5,9.5
Respiratory diseases affecting interstitium,Far West LHD,2015-2017,3,0.5,9.5
Respiratory diseases affecting interstitium,Far West LHD,2016-2018,1.3,0.2,6.1
Respiratory diseases affecting interstitium,Far West LHD,2017-2019,3.1,1,8.3
Respiratory diseases affecting interstitium,Far West LHD,2018-2020,5.3,2.3,11.4
Respiratory diseases affecting interstitium,Far West LHD,2019-2021,5.3,2.3,11.4
Respiratory diseases affecting interstitium,All LHDs,2001-2003,3.9,3.6,4.2
Respiratory diseases affecting interstitium,All LHDs,2002-2004,3.9,3.6,4.1
Respiratory diseases affecting interstitium,All LHDs,2003-2005,3.7,3.4,3.9
Respiratory diseases affecting interstitium,All LHDs,2004-2006,3.8,3.5,4
Respiratory diseases affecting interstitium,All LHDs,2005-2007,3.8,3.6,4.1
Respiratory diseases affecting interstitium,All LHDs,2006-2008,4.2,3.9,4.4
Respiratory diseases affecting interstitium,All LHDs,2007-2009,4.2,3.9,4.4
Respiratory diseases affecting interstitium,All LHDs,2008-2010,4.4,4.2,4.7
Respiratory diseases affecting interstitium,All LHDs,2009-2011,4.4,4.2,4.7
Respiratory diseases affecting interstitium,All LHDs,2010-2012,4.7,4.4,4.9
Respiratory diseases affecting interstitium,All LHDs,2011-2013,4.6,4.3,4.8
Respiratory diseases affecting interstitium,All LHDs,2012-2014,4.7,4.5,5
Respiratory diseases affecting interstitium,All LHDs,2013-2015,4.7,4.5,5
Respiratory diseases affecting interstitium,All LHDs,2014-2016,4.8,4.6,5.1
Respiratory diseases affecting interstitium,All LHDs,2015-2017,4.9,4.6,5.1
Respiratory diseases affecting interstitium,All LHDs,2016-2018,4.7,4.4,4.9
Respiratory diseases affecting interstitium,All LHDs,2017-2019,4.6,4.4,4.9
Respiratory diseases affecting interstitium,All LHDs,2018-2020,4.6,4.3,4.8
Respiratory diseases affecting interstitium,All LHDs,2019-2021,4.9,4.7,5.2
Remaining respiratory diseases,Sydney LHD,2001-2003,13.3,11.5,15.3
Remaining respiratory diseases,Sydney LHD,2002-2004,14.9,13,17.1
Remaining respiratory diseases,Sydney LHD,2003-2005,15.9,13.9,18.1
Remaining respiratory diseases,Sydney LHD,2004-2006,17.8,15.7,20.1
Remaining respiratory diseases,Sydney LHD,2005-2007,17.4,15.3,19.6
Remaining respiratory diseases,Sydney LHD,2006-2008,16.8,14.9,19
Remaining respiratory diseases,Sydney LHD,2007-2009,17.4,15.5,19.6
Remaining respiratory diseases,Sydney LHD,2008-2010,18.6,16.6,20.8
Remaining respiratory diseases,Sydney LHD,2009-2011,20,17.9,22.2
Remaining respiratory diseases,Sydney LHD,2010-2012,20.1,18.1,22.3
Remaining respiratory diseases,Sydney LHD,2011-2013,16.7,14.9,18.7
Remaining respiratory diseases,Sydney LHD,2012-2014,12.7,11.1,14.4
Remaining respiratory diseases,Sydney LHD,2013-2015,8.5,7.3,9.9
Remaining respiratory diseases,Sydney LHD,2014-2016,8.3,7.1,9.7
Remaining respiratory diseases,Sydney LHD,2015-2017,9.1,7.8,10.5
Remaining respiratory diseases,Sydney LHD,2016-2018,9.4,8.2,10.9
Remaining respiratory diseases,Sydney LHD,2017-2019,9.5,8.2,10.9
Remaining respiratory diseases,Sydney LHD,2018-2020,8.2,7.1,9.5
Remaining respiratory diseases,Sydney LHD,2019-2021,7.8,6.7,9.1
Remaining respiratory diseases,South Western Sydney LHD,2001-2003,11.5,10,13.2
Remaining respiratory diseases,South Western Sydney LHD,2002-2004,13.2,11.5,15
Remaining respiratory diseases,South Western Sydney LHD,2003-2005,14.3,12.6,16.1
Remaining respiratory diseases,South Western Sydney LHD,2004-2006,14.5,12.8,16.3
Remaining respiratory diseases,South Western Sydney LHD,2005-2007,15.6,13.9,17.4
Remaining respiratory diseases,South Western Sydney LHD,2006-2008,17.3,15.6,19.2
Remaining respiratory diseases,South Western Sydney LHD,2007-2009,18.8,17.1,20.7
Remaining respiratory diseases,South Western Sydney LHD,2008-2010,17.4,15.7,19.2
Remaining respiratory diseases,South Western Sydney LHD,2009-2011,16.3,14.7,18
Remaining respiratory diseases,South Western Sydney LHD,2010-2012,16.6,15.1,18.3
Remaining respiratory diseases,South Western Sydney LHD,2011-2013,14.9,13.4,16.4
Remaining respiratory diseases,South Western Sydney LHD,2012-2014,13.5,12.2,15
Remaining respiratory diseases,South Western Sydney LHD,2013-2015,10.3,9.1,11.6
Remaining respiratory diseases,South Western Sydney LHD,2014-2016,9.9,8.8,11.2
Remaining respiratory diseases,South Western Sydney LHD,2015-2017,9.7,8.6,10.9
Remaining respiratory diseases,South Western Sydney LHD,2016-2018,9.6,8.5,10.8
Remaining respiratory diseases,South Western Sydney LHD,2017-2019,9.8,8.7,11
Remaining respiratory diseases,South Western Sydney LHD,2018-2020,9,8,10.1
Remaining respiratory diseases,South Western Sydney LHD,2019-2021,8.6,7.6,9.6
Remaining respiratory diseases,South Eastern Sydney LHD,2001-2003,9.5,8.4,10.8
Remaining respiratory diseases,South Eastern Sydney LHD,2002-2004,9.9,8.8,11.2
Remaining respiratory diseases,South Eastern Sydney LHD,2003-2005,9.6,8.4,10.8
Remaining respiratory diseases,South Eastern Sydney LHD,2004-2006,9.7,8.6,11
Remaining respiratory diseases,South Eastern Sydney LHD,2005-2007,11.1,9.9,12.4
Remaining respiratory diseases,South Eastern Sydney LHD,2006-2008,14.5,13.2,16
Remaining respiratory diseases,South Eastern Sydney LHD,2007-2009,15.9,14.5,17.4
Remaining respiratory diseases,South Eastern Sydney LHD,2008-2010,16.3,14.9,17.8
Remaining respiratory diseases,South Eastern Sydney LHD,2009-2011,14.6,13.3,16
Remaining respiratory diseases,South Eastern Sydney LHD,2010-2012,14.6,13.3,16
Remaining respiratory diseases,South Eastern Sydney LHD,2011-2013,11.9,10.8,13.2
Remaining respiratory diseases,South Eastern Sydney LHD,2012-2014,10.6,9.5,11.8
Remaining respiratory diseases,South Eastern Sydney LHD,2013-2015,8.4,7.4,9.4
Remaining respiratory diseases,South Eastern Sydney LHD,2014-2016,8.3,7.4,9.3
Remaining respiratory diseases,South Eastern Sydney LHD,2015-2017,7.7,6.8,8.6
Remaining respiratory diseases,South Eastern Sydney LHD,2016-2018,7.8,6.9,8.8
Remaining respiratory diseases,South Eastern Sydney LHD,2017-2019,8.5,7.6,9.5
Remaining respiratory diseases,South Eastern Sydney LHD,2018-2020,8.3,7.4,9.3
Remaining respiratory diseases,South Eastern Sydney LHD,2019-2021,8,7.2,9
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2001-2003,9,7.4,10.9
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2002-2004,9.1,7.5,11
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2003-2005,9.5,7.8,11.3
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2004-2006,10.9,9.2,12.8
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2005-2007,11.4,9.6,13.3
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2006-2008,11.9,10.2,13.9
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2007-2009,10.7,9.1,12.5
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2008-2010,10.7,9.1,12.5
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2009-2011,10,8.5,11.7
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2010-2012,10.8,9.3,12.5
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2011-2013,9.7,8.3,11.4
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2012-2014,9,7.7,10.6
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2013-2015,7.1,5.9,8.4
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2014-2016,7.2,6,8.5
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2015-2017,7.3,6.2,8.7
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2016-2018,8.2,7,9.7
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2017-2019,7.9,6.7,9.3
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2018-2020,7.6,6.5,9
Remaining respiratory diseases,Illawarra Shoalhaven LHD,2019-2021,6.5,5.4,7.7
Remaining respiratory diseases,Western Sydney LHD,2001-2003,11.6,10,13.4
Remaining respiratory diseases,Western Sydney LHD,2002-2004,14,12.2,15.9
Remaining respiratory diseases,Western Sydney LHD,2003-2005,13.4,11.7,15.3
Remaining respiratory diseases,Western Sydney LHD,2004-2006,12.5,10.8,14.3
Remaining respiratory diseases,Western Sydney LHD,2005-2007,13,11.4,14.8
Remaining respiratory diseases,Western Sydney LHD,2006-2008,14,12.4,15.9
Remaining respiratory diseases,Western Sydney LHD,2007-2009,16.1,14.3,18
Remaining respiratory diseases,Western Sydney LHD,2008-2010,16.7,15,18.6
Remaining respiratory diseases,Western Sydney LHD,2009-2011,16.9,15.2,18.8
Remaining respiratory diseases,Western Sydney LHD,2010-2012,17,15.3,18.9
Remaining respiratory diseases,Western Sydney LHD,2011-2013,14.7,13.2,16.4
Remaining respiratory diseases,Western Sydney LHD,2012-2014,13.2,11.7,14.8
Remaining respiratory diseases,Western Sydney LHD,2013-2015,11.2,9.9,12.6
Remaining respiratory diseases,Western Sydney LHD,2014-2016,10.7,9.4,12.1
Remaining respiratory diseases,Western Sydney LHD,2015-2017,10.2,9,11.6
Remaining respiratory diseases,Western Sydney LHD,2016-2018,10.5,9.2,11.8
Remaining respiratory diseases,Western Sydney LHD,2017-2019,10.7,9.5,12.1
Remaining respiratory diseases,Western Sydney LHD,2018-2020,10.1,8.9,11.4
Remaining respiratory diseases,Western Sydney LHD,2019-2021,9.6,8.5,10.8
Remaining respiratory diseases,Nepean Blue Mountains LHD,2001-2003,12.3,9.9,15
Remaining respiratory diseases,Nepean Blue Mountains LHD,2002-2004,13.9,11.4,16.8
Remaining respiratory diseases,Nepean Blue Mountains LHD,2003-2005,14.9,12.3,17.9
Remaining respiratory diseases,Nepean Blue Mountains LHD,2004-2006,16.2,13.5,19.3
Remaining respiratory diseases,Nepean Blue Mountains LHD,2005-2007,16.8,14.1,19.9
Remaining respiratory diseases,Nepean Blue Mountains LHD,2006-2008,16.9,14.2,19.9
Remaining respiratory diseases,Nepean Blue Mountains LHD,2007-2009,16,13.5,18.9
Remaining respiratory diseases,Nepean Blue Mountains LHD,2008-2010,15.7,13.2,18.5
Remaining respiratory diseases,Nepean Blue Mountains LHD,2009-2011,16,13.5,18.7
Remaining respiratory diseases,Nepean Blue Mountains LHD,2010-2012,14.9,12.5,17.5
Remaining respiratory diseases,Nepean Blue Mountains LHD,2011-2013,13.4,11.2,15.8
Remaining respiratory diseases,Nepean Blue Mountains LHD,2012-2014,11.5,9.5,13.8
Remaining respiratory diseases,Nepean Blue Mountains LHD,2013-2015,11.8,9.8,14.1
Remaining respiratory diseases,Nepean Blue Mountains LHD,2014-2016,14,11.9,16.4
Remaining respiratory diseases,Nepean Blue Mountains LHD,2015-2017,15.2,13,17.7
Remaining respiratory diseases,Nepean Blue Mountains LHD,2016-2018,15.6,13.4,18
Remaining respiratory diseases,Nepean Blue Mountains LHD,2017-2019,14.1,12,16.4
Remaining respiratory diseases,Nepean Blue Mountains LHD,2018-2020,12,10.2,14.2
Remaining respiratory diseases,Nepean Blue Mountains LHD,2019-2021,11.9,10.1,14
Remaining respiratory diseases,Northern Sydney LHD,2001-2003,8.2,7.2,9.3
Remaining respiratory diseases,Northern Sydney LHD,2002-2004,9,7.9,10.1
Remaining respiratory diseases,Northern Sydney LHD,2003-2005,9.8,8.8,11
Remaining respiratory diseases,Northern Sydney LHD,2004-2006,9.9,8.8,11
Remaining respiratory diseases,Northern Sydney LHD,2005-2007,10,8.9,11.1
Remaining respiratory diseases,Northern Sydney LHD,2006-2008,9.6,8.5,10.7
Remaining respiratory diseases,Northern Sydney LHD,2007-2009,9.8,8.8,10.9
Remaining respiratory diseases,Northern Sydney LHD,2008-2010,9.9,8.8,11
Remaining respiratory diseases,Northern Sydney LHD,2009-2011,10.6,9.5,11.7
Remaining respiratory diseases,Northern Sydney LHD,2010-2012,11.7,10.6,12.9
Remaining respiratory diseases,Northern Sydney LHD,2011-2013,10.1,9.1,11.2
Remaining respiratory diseases,Northern Sydney LHD,2012-2014,8.6,7.7,9.6
Remaining respiratory diseases,Northern Sydney LHD,2013-2015,6.1,5.3,6.9
Remaining respiratory diseases,Northern Sydney LHD,2014-2016,6.8,6,7.7
Remaining respiratory diseases,Northern Sydney LHD,2015-2017,7.3,6.5,8.2
Remaining respiratory diseases,Northern Sydney LHD,2016-2018,7.9,7.1,8.8
Remaining respiratory diseases,Northern Sydney LHD,2017-2019,7.8,6.9,8.7
Remaining respiratory diseases,Northern Sydney LHD,2018-2020,6.9,6.1,7.8
Remaining respiratory diseases,Northern Sydney LHD,2019-2021,6.2,5.5,7
Remaining respiratory diseases,Central Coast LHD,2001-2003,16.1,13.9,18.5
Remaining respiratory diseases,Central Coast LHD,2002-2004,15.6,13.5,17.9
Remaining respiratory diseases,Central Coast LHD,2003-2005,14.6,12.6,16.9
Remaining respiratory diseases,Central Coast LHD,2004-2006,13,11.1,15.1
Remaining respiratory diseases,Central Coast LHD,2005-2007,12.9,11.1,15
Remaining respiratory diseases,Central Coast LHD,2006-2008,13.5,11.6,15.6
Remaining respiratory diseases,Central Coast LHD,2007-2009,15,13,17.1
Remaining respiratory diseases,Central Coast LHD,2008-2010,14,12.2,16.1
Remaining respiratory diseases,Central Coast LHD,2009-2011,14.3,12.4,16.4
Remaining respiratory diseases,Central Coast LHD,2010-2012,14.1,12.3,16.2
Remaining respiratory diseases,Central Coast LHD,2011-2013,13,11.3,14.9
Remaining respiratory diseases,Central Coast LHD,2012-2014,12.6,11,14.5
Remaining respiratory diseases,Central Coast LHD,2013-2015,10.1,8.6,11.8
Remaining respiratory diseases,Central Coast LHD,2014-2016,9.5,8.1,11.1
Remaining respiratory diseases,Central Coast LHD,2015-2017,8.1,6.8,9.6
Remaining respiratory diseases,Central Coast LHD,2016-2018,8.4,7.1,9.8
Remaining respiratory diseases,Central Coast LHD,2017-2019,9.3,8,10.9
Remaining respiratory diseases,Central Coast LHD,2018-2020,8.8,7.5,10.3
Remaining respiratory diseases,Central Coast LHD,2019-2021,8.9,7.5,10.4
Remaining respiratory diseases,Hunter New England LHD,2001-2003,8.4,7.3,9.5
Remaining respiratory diseases,Hunter New England LHD,2002-2004,9.2,8.2,10.4
Remaining respiratory diseases,Hunter New England LHD,2003-2005,9,7.9,10.1
Remaining respiratory diseases,Hunter New England LHD,2004-2006,9.4,8.3,10.5
Remaining respiratory diseases,Hunter New England LHD,2005-2007,9.5,8.4,10.6
Remaining respiratory diseases,Hunter New England LHD,2006-2008,10.5,9.4,11.7
Remaining respiratory diseases,Hunter New England LHD,2007-2009,10.2,9.1,11.3
Remaining respiratory diseases,Hunter New England LHD,2008-2010,10,8.9,11.1
Remaining respiratory diseases,Hunter New England LHD,2009-2011,9.1,8.1,10.2
Remaining respiratory diseases,Hunter New England LHD,2010-2012,9.7,8.8,10.8
Remaining respiratory diseases,Hunter New England LHD,2011-2013,9,8,10
Remaining respiratory diseases,Hunter New England LHD,2012-2014,8.4,7.5,9.3
Remaining respiratory diseases,Hunter New England LHD,2013-2015,7.3,6.4,8.2
Remaining respiratory diseases,Hunter New England LHD,2014-2016,6.9,6.1,7.8
Remaining respiratory diseases,Hunter New England LHD,2015-2017,7,6.2,7.9
Remaining respiratory diseases,Hunter New England LHD,2016-2018,6.8,6.1,7.7
Remaining respiratory diseases,Hunter New England LHD,2017-2019,7.5,6.7,8.4
Remaining respiratory diseases,Hunter New England LHD,2018-2020,7,6.2,7.8
Remaining respiratory diseases,Hunter New England LHD,2019-2021,6.5,5.8,7.3
Remaining respiratory diseases,Northern NSW LHD,2001-2003,7,5.6,8.9
Remaining respiratory diseases,Northern NSW LHD,2002-2004,7.8,6.2,9.6
Remaining respiratory diseases,Northern NSW LHD,2003-2005,8,6.4,9.8
Remaining respiratory diseases,Northern NSW LHD,2004-2006,8.7,7,10.7
Remaining respiratory diseases,Northern NSW LHD,2005-2007,9.6,7.9,11.6
Remaining respiratory diseases,Northern NSW LHD,2006-2008,10.2,8.4,12.2
Remaining respiratory diseases,Northern NSW LHD,2007-2009,9.5,7.9,11.4
Remaining respiratory diseases,Northern NSW LHD,2008-2010,9,7.5,10.8
