disease type,sex,lhd,financial year,"rate per 100,000 population"
Other respiratory diseases,Females,Hunter New England,2013/2014,436
Other respiratory diseases,Females,Hunter New England,2014/2015,456.2
Other respiratory diseases,Females,Hunter New England,2015/2016,464.8
Other respiratory diseases,Females,Hunter New England,2016/2017,517
Other respiratory diseases,Females,Hunter New England,2017/2018,539.4
Other respiratory diseases,Females,Hunter New England,2018/2019,519.4
Other respiratory diseases,Females,Hunter New England,2019/2020,447.9
Other respiratory diseases,Females,Hunter New England,2020/2021,507
Other respiratory diseases,Females,Hunter New England,2021/2022,528.9
Other respiratory diseases,Females,Northern NSW,2001/2002,392.9
Other respiratory diseases,Females,Northern NSW,2002/2003,372.4
Other respiratory diseases,Females,Northern NSW,2003/2004,411.8
Other respiratory diseases,Females,Northern NSW,2004/2005,449.6
Other respiratory diseases,Females,Northern NSW,2005/2006,445
Other respiratory diseases,Females,Northern NSW,2006/2007,378.6
Other respiratory diseases,Females,Northern NSW,2007/2008,426.7
Other respiratory diseases,Females,Northern NSW,2008/2009,394.9
Other respiratory diseases,Females,Northern NSW,2009/2010,443.5
Other respiratory diseases,Females,Northern NSW,2010/2011,439.9
Other respiratory diseases,Females,Northern NSW,2011/2012,462
Other respiratory diseases,Females,Northern NSW,2012/2013,426.4
Other respiratory diseases,Females,Northern NSW,2013/2014,395
Other respiratory diseases,Females,Northern NSW,2014/2015,429.3
Other respiratory diseases,Females,Northern NSW,2015/2016,384.9
Other respiratory diseases,Females,Northern NSW,2016/2017,430.3
Other respiratory diseases,Females,Northern NSW,2017/2018,429.7
Other respiratory diseases,Females,Northern NSW,2018/2019,427.8
Other respiratory diseases,Females,Northern NSW,2019/2020,368
Other respiratory diseases,Females,Northern NSW,2020/2021,435.6
Other respiratory diseases,Females,Northern NSW,2021/2022,516
Other respiratory diseases,Females,Mid North Coast,2001/2002,458.1
Other respiratory diseases,Females,Mid North Coast,2002/2003,487.1
Other respiratory diseases,Females,Mid North Coast,2003/2004,448.4
Other respiratory diseases,Females,Mid North Coast,2004/2005,480
Other respiratory diseases,Females,Mid North Coast,2005/2006,432.3
Other respiratory diseases,Females,Mid North Coast,2006/2007,462.7
Other respiratory diseases,Females,Mid North Coast,2007/2008,496.6
Other respiratory diseases,Females,Mid North Coast,2008/2009,481.1
Other respiratory diseases,Females,Mid North Coast,2009/2010,465.6
Other respiratory diseases,Females,Mid North Coast,2010/2011,453.8
Other respiratory diseases,Females,Mid North Coast,2011/2012,516.8
Other respiratory diseases,Females,Mid North Coast,2012/2013,469.4
Other respiratory diseases,Females,Mid North Coast,2013/2014,439.5
Other respiratory diseases,Females,Mid North Coast,2014/2015,542.6
Other respiratory diseases,Females,Mid North Coast,2015/2016,558.1
Other respiratory diseases,Females,Mid North Coast,2016/2017,519.2
Other respiratory diseases,Females,Mid North Coast,2017/2018,538.7
Other respiratory diseases,Females,Mid North Coast,2018/2019,477.3
Other respiratory diseases,Females,Mid North Coast,2019/2020,454.6
Other respiratory diseases,Females,Mid North Coast,2020/2021,479.6
Other respiratory diseases,Females,Mid North Coast,2021/2022,511.3
Other respiratory diseases,Females,Southern NSW,2001/2002,347.1
Other respiratory diseases,Females,Southern NSW,2002/2003,325.5
Other respiratory diseases,Females,Southern NSW,2003/2004,300.6
Other respiratory diseases,Females,Southern NSW,2004/2005,342.8
Other respiratory diseases,Females,Southern NSW,2005/2006,285.3
Other respiratory diseases,Females,Southern NSW,2006/2007,355.4
Other respiratory diseases,Females,Southern NSW,2007/2008,370.1
Other respiratory diseases,Females,Southern NSW,2008/2009,342.9
Other respiratory diseases,Females,Southern NSW,2009/2010,324.5
Other respiratory diseases,Females,Southern NSW,2010/2011,393.8
Other respiratory diseases,Females,Southern NSW,2011/2012,390
Other respiratory diseases,Females,Southern NSW,2012/2013,354.9
Other respiratory diseases,Females,Southern NSW,2013/2014,395.4
Other respiratory diseases,Females,Southern NSW,2014/2015,355.5
Other respiratory diseases,Females,Southern NSW,2015/2016,387.2
Other respiratory diseases,Females,Southern NSW,2016/2017,407.8
Other respiratory diseases,Females,Southern NSW,2017/2018,415.2
Other respiratory diseases,Females,Southern NSW,2018/2019,374.2
Other respiratory diseases,Females,Southern NSW,2019/2020,306.9
Other respiratory diseases,Females,Southern NSW,2020/2021,365.8
Other respiratory diseases,Females,Southern NSW,2021/2022,278.1
Other respiratory diseases,Females,Murrumbidgee,2001/2002,569
Other respiratory diseases,Females,Murrumbidgee,2002/2003,506.3
Other respiratory diseases,Females,Murrumbidgee,2003/2004,556
Other respiratory diseases,Females,Murrumbidgee,2004/2005,573.5
Other respiratory diseases,Females,Murrumbidgee,2005/2006,615.1
Other respiratory diseases,Females,Murrumbidgee,2006/2007,627.6
Other respiratory diseases,Females,Murrumbidgee,2007/2008,712.5
Other respiratory diseases,Females,Murrumbidgee,2008/2009,749.6
Other respiratory diseases,Females,Murrumbidgee,2009/2010,799.4
Other respiratory diseases,Females,Murrumbidgee,2010/2011,804.6
Other respiratory diseases,Females,Murrumbidgee,2011/2012,898.8
Other respiratory diseases,Females,Murrumbidgee,2012/2013,827
Other respiratory diseases,Females,Murrumbidgee,2013/2014,885.1
Other respiratory diseases,Females,Murrumbidgee,2014/2015,845.7
Other respiratory diseases,Females,Murrumbidgee,2015/2016,855.8
Other respiratory diseases,Females,Murrumbidgee,2016/2017,932.6
Other respiratory diseases,Females,Murrumbidgee,2017/2018,836.3
Other respiratory diseases,Females,Murrumbidgee,2018/2019,852.4
Other respiratory diseases,Females,Murrumbidgee,2019/2020,682.7
Other respiratory diseases,Females,Murrumbidgee,2020/2021,789
Other respiratory diseases,Females,Murrumbidgee,2021/2022,656.6
Other respiratory diseases,Females,Western NSW,2001/2002,442.8
Other respiratory diseases,Females,Western NSW,2002/2003,473.2
Other respiratory diseases,Females,Western NSW,2003/2004,522.5
Other respiratory diseases,Females,Western NSW,2004/2005,534
Other respiratory diseases,Females,Western NSW,2005/2006,502.7
Other respiratory diseases,Females,Western NSW,2006/2007,605.7
Other respiratory diseases,Females,Western NSW,2007/2008,589
Other respiratory diseases,Females,Western NSW,2008/2009,581.3
Other respiratory diseases,Females,Western NSW,2009/2010,574.9
Other respiratory diseases,Females,Western NSW,2010/2011,715.3
Other respiratory diseases,Females,Western NSW,2011/2012,671.5
Other respiratory diseases,Females,Western NSW,2012/2013,694.2
Other respiratory diseases,Females,Western NSW,2013/2014,719.3
Other respiratory diseases,Females,Western NSW,2014/2015,713.1
Other respiratory diseases,Females,Western NSW,2015/2016,748.8
Other respiratory diseases,Females,Western NSW,2016/2017,747.6
Other respiratory diseases,Females,Western NSW,2017/2018,748
Other respiratory diseases,Females,Western NSW,2018/2019,711.9
Other respiratory diseases,Females,Western NSW,2019/2020,582.3
Other respiratory diseases,Females,Western NSW,2020/2021,750
Other respiratory diseases,Females,Western NSW,2021/2022,513.5
Other respiratory diseases,Females,Far West,2001/2002,533.6
Other respiratory diseases,Females,Far West,2002/2003,432.1
Other respiratory diseases,Females,Far West,2003/2004,639.1
Other respiratory diseases,Females,Far West,2004/2005,488.7
Other respiratory diseases,Females,Far West,2005/2006,511.2
Other respiratory diseases,Females,Far West,2006/2007,433.7
Other respiratory diseases,Females,Far West,2007/2008,551.8
Other respiratory diseases,Females,Far West,2008/2009,614.3
Other respiratory diseases,Females,Far West,2009/2010,503.4
Other respiratory diseases,Females,Far West,2010/2011,495.1
Other respiratory diseases,Females,Far West,2011/2012,522.7
Other respiratory diseases,Females,Far West,2012/2013,429.6
Other respiratory diseases,Females,Far West,2013/2014,297.9
Other respiratory diseases,Females,Far West,2014/2015,476.8
Other respiratory diseases,Females,Far West,2015/2016,377.7
Other respiratory diseases,Females,Far West,2016/2017,592.3
Other respiratory diseases,Females,Far West,2017/2018,567
Other respiratory diseases,Females,Far West,2018/2019,481.8
Other respiratory diseases,Females,Far West,2019/2020,427.6
Other respiratory diseases,Females,Far West,2020/2021,501.7
Other respiratory diseases,Females,Far West,2021/2022,350.7
Lung Cancer,Males,Sydney,2001/2002,94.2
Lung Cancer,Males,Sydney,2002/2003,115.3
Lung Cancer,Males,Sydney,2003/2004,119.9
Lung Cancer,Males,Sydney,2004/2005,104
Lung Cancer,Males,Sydney,2005/2006,98.4
Lung Cancer,Males,Sydney,2006/2007,94.6
Lung Cancer,Males,Sydney,2007/2008,82.4
Lung Cancer,Males,Sydney,2008/2009,77.9
Lung Cancer,Males,Sydney,2009/2010,77.4
Lung Cancer,Males,Sydney,2010/2011,91.2
Lung Cancer,Males,Sydney,2011/2012,65.9
Lung Cancer,Males,Sydney,2012/2013,72.9
Lung Cancer,Males,Sydney,2013/2014,65.1
Lung Cancer,Males,Sydney,2014/2015,63.9
Lung Cancer,Males,Sydney,2015/2016,72.6
Lung Cancer,Males,Sydney,2016/2017,65.2
Lung Cancer,Males,Sydney,2017/2018,64.8
Lung Cancer,Males,Sydney,2018/2019,64.3
Lung Cancer,Males,Sydney,2019/2020,55.6
Lung Cancer,Males,Sydney,2020/2021,49.7
Lung Cancer,Males,Sydney,2021/2022,52.4
Lung Cancer,Males,South Western Sydney,2001/2002,135.6
Lung Cancer,Males,South Western Sydney,2002/2003,119.2
Lung Cancer,Males,South Western Sydney,2003/2004,132.2
Lung Cancer,Males,South Western Sydney,2004/2005,134
Lung Cancer,Males,South Western Sydney,2005/2006,104.6
Lung Cancer,Males,South Western Sydney,2006/2007,125.2
Lung Cancer,Males,South Western Sydney,2007/2008,107.4
Lung Cancer,Males,South Western Sydney,2008/2009,100.2
Lung Cancer,Males,South Western Sydney,2009/2010,121.2
Lung Cancer,Males,South Western Sydney,2010/2011,88.3
Lung Cancer,Males,South Western Sydney,2011/2012,94.8
Lung Cancer,Males,South Western Sydney,2012/2013,113.4
Lung Cancer,Males,South Western Sydney,2013/2014,63.7
Lung Cancer,Males,South Western Sydney,2014/2015,82.3
Lung Cancer,Males,South Western Sydney,2015/2016,79
Lung Cancer,Males,South Western Sydney,2016/2017,69.3
Lung Cancer,Males,South Western Sydney,2017/2018,62
Lung Cancer,Males,South Western Sydney,2018/2019,61.8
Lung Cancer,Males,South Western Sydney,2019/2020,60.7
Lung Cancer,Males,South Western Sydney,2020/2021,67.4
Lung Cancer,Males,South Western Sydney,2021/2022,67.5
Lung Cancer,Males,South Eastern Sydney,2001/2002,76.5
Lung Cancer,Males,South Eastern Sydney,2002/2003,70.1
Lung Cancer,Males,South Eastern Sydney,2003/2004,80.1
Lung Cancer,Males,South Eastern Sydney,2004/2005,89.8
Lung Cancer,Males,South Eastern Sydney,2005/2006,84
Lung Cancer,Males,South Eastern Sydney,2006/2007,72.4
Lung Cancer,Males,South Eastern Sydney,2007/2008,80.8
Lung Cancer,Males,South Eastern Sydney,2008/2009,67
Lung Cancer,Males,South Eastern Sydney,2009/2010,78.1
Lung Cancer,Males,South Eastern Sydney,2010/2011,73.9
Lung Cancer,Males,South Eastern Sydney,2011/2012,80.2
Lung Cancer,Males,South Eastern Sydney,2012/2013,78.1
Lung Cancer,Males,South Eastern Sydney,2013/2014,70.6
Lung Cancer,Males,South Eastern Sydney,2014/2015,70.3
Lung Cancer,Males,South Eastern Sydney,2015/2016,63.3
Lung Cancer,Males,South Eastern Sydney,2016/2017,57.2
Lung Cancer,Males,South Eastern Sydney,2017/2018,75.5
Lung Cancer,Males,South Eastern Sydney,2018/2019,59
Lung Cancer,Males,South Eastern Sydney,2019/2020,47.4
Lung Cancer,Males,South Eastern Sydney,2020/2021,48.9
Lung Cancer,Males,South Eastern Sydney,2021/2022,41.3
Lung Cancer,Males,Illawarra Shoalhaven,2001/2002,126
Lung Cancer,Males,Illawarra Shoalhaven,2002/2003,98.2
Lung Cancer,Males,Illawarra Shoalhaven,2003/2004,93.1
Lung Cancer,Males,Illawarra Shoalhaven,2004/2005,95.3
Lung Cancer,Males,Illawarra Shoalhaven,2005/2006,77.3
Lung Cancer,Males,Illawarra Shoalhaven,2006/2007,91
Lung Cancer,Males,Illawarra Shoalhaven,2007/2008,128.8
Lung Cancer,Males,Illawarra Shoalhaven,2008/2009,173.9
Lung Cancer,Males,Illawarra Shoalhaven,2009/2010,161.6
Lung Cancer,Males,Illawarra Shoalhaven,2010/2011,97.2
Lung Cancer,Males,Illawarra Shoalhaven,2011/2012,85.5
Lung Cancer,Males,Illawarra Shoalhaven,2012/2013,76.7
Lung Cancer,Males,Illawarra Shoalhaven,2013/2014,80
Lung Cancer,Males,Illawarra Shoalhaven,2014/2015,68.8
Lung Cancer,Males,Illawarra Shoalhaven,2015/2016,69.4
Lung Cancer,Males,Illawarra Shoalhaven,2016/2017,69.6
Lung Cancer,Males,Illawarra Shoalhaven,2017/2018,63.7
Lung Cancer,Males,Illawarra Shoalhaven,2018/2019,62.5
Lung Cancer,Males,Illawarra Shoalhaven,2019/2020,71.6
Lung Cancer,Males,Illawarra Shoalhaven,2020/2021,58.3
Lung Cancer,Males,Illawarra Shoalhaven,2021/2022,48.6
Lung Cancer,Males,Western Sydney,2001/2002,103.5
Lung Cancer,Males,Western Sydney,2002/2003,99.5
Lung Cancer,Males,Western Sydney,2003/2004,108.6
Lung Cancer,Males,Western Sydney,2004/2005,105.8
Lung Cancer,Males,Western Sydney,2005/2006,88.3
Lung Cancer,Males,Western Sydney,2006/2007,103.6
Lung Cancer,Males,Western Sydney,2007/2008,82.3
Lung Cancer,Males,Western Sydney,2008/2009,74.9
Lung Cancer,Males,Western Sydney,2009/2010,71.3
Lung Cancer,Males,Western Sydney,2010/2011,66
Lung Cancer,Males,Western Sydney,2011/2012,70
Lung Cancer,Males,Western Sydney,2012/2013,66.3
Lung Cancer,Males,Western Sydney,2013/2014,63.3
Lung Cancer,Males,Western Sydney,2014/2015,67.6
Lung Cancer,Males,Western Sydney,2015/2016,63.2
Lung Cancer,Males,Western Sydney,2016/2017,59.6
Lung Cancer,Males,Western Sydney,2017/2018,53.5
Lung Cancer,Males,Western Sydney,2018/2019,67.5
Lung Cancer,Males,Western Sydney,2019/2020,61.3
Lung Cancer,Males,Western Sydney,2020/2021,50.2
Lung Cancer,Males,Western Sydney,2021/2022,53.9
Lung Cancer,Males,Nepean Blue Mountains,2001/2002,122.2
Lung Cancer,Males,Nepean Blue Mountains,2002/2003,121.2
Lung Cancer,Males,Nepean Blue Mountains,2003/2004,122.7
Lung Cancer,Males,Nepean Blue Mountains,2004/2005,125.7
Lung Cancer,Males,Nepean Blue Mountains,2005/2006,106
Lung Cancer,Males,Nepean Blue Mountains,2006/2007,70.3
Lung Cancer,Males,Nepean Blue Mountains,2007/2008,78.5
Lung Cancer,Males,Nepean Blue Mountains,2008/2009,94.9
Lung Cancer,Males,Nepean Blue Mountains,2009/2010,102.3
Lung Cancer,Males,Nepean Blue Mountains,2010/2011,55
Lung Cancer,Males,Nepean Blue Mountains,2011/2012,74.8
Lung Cancer,Males,Nepean Blue Mountains,2012/2013,64.6
Lung Cancer,Males,Nepean Blue Mountains,2013/2014,65.8
Lung Cancer,Males,Nepean Blue Mountains,2014/2015,51.7
Lung Cancer,Males,Nepean Blue Mountains,2015/2016,45.8
Lung Cancer,Males,Nepean Blue Mountains,2016/2017,60.8
Lung Cancer,Males,Nepean Blue Mountains,2017/2018,61.1
Lung Cancer,Males,Nepean Blue Mountains,2018/2019,49.4
Lung Cancer,Males,Nepean Blue Mountains,2019/2020,53.4
Lung Cancer,Males,Nepean Blue Mountains,2020/2021,62
Lung Cancer,Males,Nepean Blue Mountains,2021/2022,47.7
Lung Cancer,Males,Northern Sydney,2001/2002,75.3
Lung Cancer,Males,Northern Sydney,2002/2003,81.5
Lung Cancer,Males,Northern Sydney,2003/2004,77.9
Lung Cancer,Males,Northern Sydney,2004/2005,74.7
Lung Cancer,Males,Northern Sydney,2005/2006,68.9
Lung Cancer,Males,Northern Sydney,2006/2007,73.4
Lung Cancer,Males,Northern Sydney,2007/2008,67.2
Lung Cancer,Males,Northern Sydney,2008/2009,61.6
Lung Cancer,Males,Northern Sydney,2009/2010,66.9
Lung Cancer,Males,Northern Sydney,2010/2011,60.9
Lung Cancer,Males,Northern Sydney,2011/2012,73.1
Lung Cancer,Males,Northern Sydney,2012/2013,62
Lung Cancer,Males,Northern Sydney,2013/2014,49.3
Lung Cancer,Males,Northern Sydney,2014/2015,54.8
Lung Cancer,Males,Northern Sydney,2015/2016,70.8
Lung Cancer,Males,Northern Sydney,2016/2017,74.6
Lung Cancer,Males,Northern Sydney,2017/2018,44.7
Lung Cancer,Males,Northern Sydney,2018/2019,51.7
Lung Cancer,Males,Northern Sydney,2019/2020,37.1
Lung Cancer,Males,Northern Sydney,2020/2021,43
Lung Cancer,Males,Northern Sydney,2021/2022,41.4
Lung Cancer,Males,Central Coast,2001/2002,131.9
Lung Cancer,Males,Central Coast,2002/2003,108.8
Lung Cancer,Males,Central Coast,2003/2004,90.3
Lung Cancer,Males,Central Coast,2004/2005,107.9
Lung Cancer,Males,Central Coast,2005/2006,100.7
Lung Cancer,Males,Central Coast,2006/2007,101.8
Lung Cancer,Males,Central Coast,2007/2008,87
Lung Cancer,Males,Central Coast,2008/2009,102.4
Lung Cancer,Males,Central Coast,2009/2010,78.7
Lung Cancer,Males,Central Coast,2010/2011,74.8
Lung Cancer,Males,Central Coast,2011/2012,57.7
Lung Cancer,Males,Central Coast,2012/2013,41.6
Lung Cancer,Males,Central Coast,2013/2014,55
Lung Cancer,Males,Central Coast,2014/2015,48.3
Lung Cancer,Males,Central Coast,2015/2016,62.6
Lung Cancer,Males,Central Coast,2016/2017,64.8
Lung Cancer,Males,Central Coast,2017/2018,56.5
Lung Cancer,Males,Central Coast,2018/2019,53.5
Lung Cancer,Males,Central Coast,2019/2020,42.1
Lung Cancer,Males,Central Coast,2020/2021,57.5
Lung Cancer,Males,Central Coast,2021/2022,53.7
Lung Cancer,Males,Hunter New England,2001/2002,113.9
Lung Cancer,Males,Hunter New England,2002/2003,104.4
Lung Cancer,Males,Hunter New England,2003/2004,114.8
Lung Cancer,Males,Hunter New England,2004/2005,97.3
Lung Cancer,Males,Hunter New England,2005/2006,86.1
Lung Cancer,Males,Hunter New England,2006/2007,98.1
Lung Cancer,Males,Hunter New England,2007/2008,94
Lung Cancer,Males,Hunter New England,2008/2009,87.3
Lung Cancer,Males,Hunter New England,2009/2010,90.4
Lung Cancer,Males,Hunter New England,2010/2011,75.5
Lung Cancer,Males,Hunter New England,2011/2012,75
Lung Cancer,Males,Hunter New England,2012/2013,81.9
Lung Cancer,Males,Hunter New England,2013/2014,72.3
Lung Cancer,Males,Hunter New England,2014/2015,75.1
Lung Cancer,Males,Hunter New England,2015/2016,74.5
Lung Cancer,Males,Hunter New England,2016/2017,73.9
Lung Cancer,Males,Hunter New England,2017/2018,67.1
Lung Cancer,Males,Hunter New England,2018/2019,69.5
Lung Cancer,Males,Hunter New England,2019/2020,62
Lung Cancer,Males,Hunter New England,2020/2021,53.5
Lung Cancer,Males,Hunter New England,2021/2022,59.6
Lung Cancer,Males,Northern NSW,2001/2002,95.9
Lung Cancer,Males,Northern NSW,2002/2003,72.4
Lung Cancer,Males,Northern NSW,2003/2004,67.8
Lung Cancer,Males,Northern NSW,2004/2005,82.9
Lung Cancer,Males,Northern NSW,2005/2006,92.8
Lung Cancer,Males,Northern NSW,2006/2007,91.7
Lung Cancer,Males,Northern NSW,2007/2008,86.2
Lung Cancer,Males,Northern NSW,2008/2009,64.6
Lung Cancer,Males,Northern NSW,2009/2010,64.3
Lung Cancer,Males,Northern NSW,2010/2011,80.4
Lung Cancer,Males,Northern NSW,2011/2012,70.4
Lung Cancer,Males,Northern NSW,2012/2013,78.1
Lung Cancer,Males,Northern NSW,2013/2014,79.3
Lung Cancer,Males,Northern NSW,2014/2015,87.9
Lung Cancer,Males,Northern NSW,2015/2016,98.3
Lung Cancer,Males,Northern NSW,2016/2017,91.5
Lung Cancer,Males,Northern NSW,2017/2018,96.1
Lung Cancer,Males,Northern NSW,2018/2019,93.2
Lung Cancer,Males,Northern NSW,2019/2020,81.1
Lung Cancer,Males,Northern NSW,2020/2021,76.2
Lung Cancer,Males,Northern NSW,2021/2022,64.8
Lung Cancer,Males,Mid North Coast,2001/2002,106.4
Lung Cancer,Males,Mid North Coast,2002/2003,134.9
Lung Cancer,Males,Mid North Coast,2003/2004,138.5
Lung Cancer,Males,Mid North Coast,2004/2005,113.4
Lung Cancer,Males,Mid North Coast,2005/2006,88.9
Lung Cancer,Males,Mid North Coast,2006/2007,79.9
Lung Cancer,Males,Mid North Coast,2007/2008,76.3
Lung Cancer,Males,Mid North Coast,2008/2009,83.9
Lung Cancer,Males,Mid North Coast,2009/2010,70.3
Lung Cancer,Males,Mid North Coast,2010/2011,79.8
Lung Cancer,Males,Mid North Coast,2011/2012,91.6
Lung Cancer,Males,Mid North Coast,2012/2013,83.9
Lung Cancer,Males,Mid North Coast,2013/2014,71.3
Lung Cancer,Males,Mid North Coast,2014/2015,73.2
Lung Cancer,Males,Mid North Coast,2015/2016,90.7
Lung Cancer,Males,Mid North Coast,2016/2017,89.5
Lung Cancer,Males,Mid North Coast,2017/2018,75.2
Lung Cancer,Males,Mid North Coast,2018/2019,98.5
Lung Cancer,Males,Mid North Coast,2019/2020,95
Lung Cancer,Males,Mid North Coast,2020/2021,58.3
Lung Cancer,Males,Mid North Coast,2021/2022,64.5
Lung Cancer,Males,Southern NSW,2001/2002,95.3
Lung Cancer,Males,Southern NSW,2002/2003,87.2
Lung Cancer,Males,Southern NSW,2003/2004,74.1
Lung Cancer,Males,Southern NSW,2004/2005,73
Lung Cancer,Males,Southern NSW,2005/2006,87.5
Lung Cancer,Males,Southern NSW,2006/2007,110.3
Lung Cancer,Males,Southern NSW,2007/2008,111.2
Lung Cancer,Males,Southern NSW,2008/2009,56.2
Lung Cancer,Males,Southern NSW,2009/2010,138.4
Lung Cancer,Males,Southern NSW,2010/2011,83
Lung Cancer,Males,Southern NSW,2011/2012,97.4
Lung Cancer,Males,Southern NSW,2012/2013,98.9
Lung Cancer,Males,Southern NSW,2013/2014,72.3
Lung Cancer,Males,Southern NSW,2014/2015,46.8
Lung Cancer,Males,Southern NSW,2015/2016,83.5
Lung Cancer,Males,Southern NSW,2016/2017,92.7
Lung Cancer,Males,Southern NSW,2017/2018,73.2
Lung Cancer,Males,Southern NSW,2018/2019,56.9
Lung Cancer,Males,Southern NSW,2019/2020,50.2
Lung Cancer,Males,Southern NSW,2020/2021,65.5
Lung Cancer,Males,Southern NSW,2021/2022,58
Lung Cancer,Males,Murrumbidgee,2001/2002,134.9
Lung Cancer,Males,Murrumbidgee,2002/2003,124.1
Lung Cancer,Males,Murrumbidgee,2003/2004,134.8
Lung Cancer,Males,Murrumbidgee,2004/2005,143.9
Lung Cancer,Males,Murrumbidgee,2005/2006,141.9
Lung Cancer,Males,Murrumbidgee,2006/2007,126.3
Lung Cancer,Males,Murrumbidgee,2007/2008,110.5
Lung Cancer,Males,Murrumbidgee,2008/2009,131.5
Lung Cancer,Males,Murrumbidgee,2009/2010,108
Lung Cancer,Males,Murrumbidgee,2010/2011,91.4
Lung Cancer,Males,Murrumbidgee,2011/2012,127.7
Lung Cancer,Males,Murrumbidgee,2012/2013,115.4
Lung Cancer,Males,Murrumbidgee,2013/2014,107
Lung Cancer,Males,Murrumbidgee,2014/2015,114
Lung Cancer,Males,Murrumbidgee,2015/2016,107.3
Lung Cancer,Males,Murrumbidgee,2016/2017,94.2
Lung Cancer,Males,Murrumbidgee,2017/2018,91.4
Lung Cancer,Males,Murrumbidgee,2018/2019,80.4
Lung Cancer,Males,Murrumbidgee,2019/2020,87.6
Lung Cancer,Males,Murrumbidgee,2020/2021,89
Lung Cancer,Males,Murrumbidgee,2021/2022,93.6
Lung Cancer,Males,Western NSW,2001/2002,126.9
Lung Cancer,Males,Western NSW,2002/2003,134.7
Lung Cancer,Males,Western NSW,2003/2004,120.5
Lung Cancer,Males,Western NSW,2004/2005,119.7
Lung Cancer,Males,Western NSW,2005/2006,111.1
Lung Cancer,Males,Western NSW,2006/2007,103.1
Lung Cancer,Males,Western NSW,2007/2008,95.3
Lung Cancer,Males,Western NSW,2008/2009,101.7
Lung Cancer,Males,Western NSW,2009/2010,82
Lung Cancer,Males,Western NSW,2010/2011,102.1
Lung Cancer,Males,Western NSW,2011/2012,84.7
Lung Cancer,Males,Western NSW,2012/2013,88.9
Lung Cancer,Males,Western NSW,2013/2014,91.1
Lung Cancer,Males,Western NSW,2014/2015,81.9
Lung Cancer,Males,Western NSW,2015/2016,69.2
Lung Cancer,Males,Western NSW,2016/2017,86.5
Lung Cancer,Males,Western NSW,2017/2018,91.7
Lung Cancer,Males,Western NSW,2018/2019,87.4
Lung Cancer,Males,Western NSW,2019/2020,80.9
Lung Cancer,Males,Western NSW,2020/2021,75.2
Lung Cancer,Males,Western NSW,2021/2022,71
Lung Cancer,Males,Far West,2001/2002,121.8
Lung Cancer,Males,Far West,2002/2003,155.6
Lung Cancer,Males,Far West,2003/2004,175.8
Lung Cancer,Males,Far West,2004/2005,158.5
Lung Cancer,Males,Far West,2005/2006,173.8
Lung Cancer,Males,Far West,2006/2007,132.2
Lung Cancer,Males,Far West,2007/2008,108.6
Lung Cancer,Males,Far West,2008/2009,49.1
Lung Cancer,Males,Far West,2009/2010,82.1
Lung Cancer,Males,Far West,2010/2011,124.3
Lung Cancer,Males,Far West,2011/2012,59.6
Lung Cancer,Males,Far West,2012/2013,113.8
Lung Cancer,Males,Far West,2013/2014,44.9
Lung Cancer,Males,Far West,2014/2015,81.5
Lung Cancer,Males,Far West,2015/2016,157.2
Lung Cancer,Males,Far West,2016/2017,41.8
Lung Cancer,Males,Far West,2017/2018,51.1
Lung Cancer,Males,Far West,2018/2019,115
Lung Cancer,Males,Far West,2019/2020,85.5
Lung Cancer,Males,Far West,2020/2021,126.6
Lung Cancer,Males,Far West,2021/2022,70.7
Lung Cancer,Females,Sydney,2001/2002,33.1
Lung Cancer,Females,Sydney,2002/2003,36.2
Lung Cancer,Females,Sydney,2003/2004,39.4
Lung Cancer,Females,Sydney,2004/2005,43.5
Lung Cancer,Females,Sydney,2005/2006,47.6
Lung Cancer,Females,Sydney,2006/2007,30.4
Lung Cancer,Females,Sydney,2007/2008,33.1
Lung Cancer,Females,Sydney,2008/2009,45.5
Lung Cancer,Females,Sydney,2009/2010,44.1
Lung Cancer,Females,Sydney,2010/2011,36.1
Lung Cancer,Females,Sydney,2011/2012,38.5
Lung Cancer,Females,Sydney,2012/2013,41.8
Lung Cancer,Females,Sydney,2013/2014,34
Lung Cancer,Females,Sydney,2014/2015,45.6
Lung Cancer,Females,Sydney,2015/2016,36
Lung Cancer,Females,Sydney,2016/2017,35.8
Lung Cancer,Females,Sydney,2017/2018,37.9
Lung Cancer,Females,Sydney,2018/2019,39.1
Lung Cancer,Females,Sydney,2019/2020,30.8
Lung Cancer,Females,Sydney,2020/2021,27.8
Lung Cancer,Females,Sydney,2021/2022,35.7
Lung Cancer,Females,South Western Sydney,2001/2002,53
Lung Cancer,Females,South Western Sydney,2002/2003,45.7
Lung Cancer,Females,South Western Sydney,2003/2004,59.7
Lung Cancer,Females,South Western Sydney,2004/2005,41
Lung Cancer,Females,South Western Sydney,2005/2006,50.5
Lung Cancer,Females,South Western Sydney,2006/2007,55.4
Lung Cancer,Females,South Western Sydney,2007/2008,52.3
Lung Cancer,Females,South Western Sydney,2008/2009,78.6
Lung Cancer,Females,South Western Sydney,2009/2010,85.9
Lung Cancer,Females,South Western Sydney,2010/2011,70.3
Lung Cancer,Females,South Western Sydney,2011/2012,65.4
Lung Cancer,Females,South Western Sydney,2012/2013,73
Lung Cancer,Females,South Western Sydney,2013/2014,45.9
Lung Cancer,Females,South Western Sydney,2014/2015,43.9
Lung Cancer,Females,South Western Sydney,2015/2016,43.5
