"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
All acute respiratory infection,All ages,Males,Northern NSW LHD,16/17,802.2,757.6,848.8
All acute respiratory infection,All ages,Males,Northern NSW LHD,17/18,904.3,856.6,954
All acute respiratory infection,All ages,Males,Northern NSW LHD,18/19,850.6,803.4,899.9
All acute respiratory infection,All ages,Males,Northern NSW LHD,19/20,770.1,725.9,816.2
All acute respiratory infection,All ages,Males,Northern NSW LHD,20/21,525.1,488.9,563.3
All acute respiratory infection,All ages,Males,Mid North Coast LHD,1-Feb,837.5,779.2,899
All acute respiratory infection,All ages,Males,Mid North Coast LHD,2-Mar,875.4,816.4,937.5
All acute respiratory infection,All ages,Males,Mid North Coast LHD,3-Apr,994.5,931.6,"1,060.40"
All acute respiratory infection,All ages,Males,Mid North Coast LHD,4-May,814.4,758.5,873.3
All acute respiratory infection,All ages,Males,Mid North Coast LHD,5-Jun,786.5,731.4,844.7
All acute respiratory infection,All ages,Males,Mid North Coast LHD,6-Jul,741.5,688.6,797.4
All acute respiratory infection,All ages,Males,Mid North Coast LHD,7-Aug,875.3,818,935.6
All acute respiratory infection,All ages,Males,Mid North Coast LHD,8-Sep,803.1,748.6,860.5
All acute respiratory infection,All ages,Males,Mid North Coast LHD,9-Oct,789.1,735.8,845.2
All acute respiratory infection,All ages,Males,Mid North Coast LHD,10-Nov,704.9,655.8,756.8
All acute respiratory infection,All ages,Males,Mid North Coast LHD,11-Dec,765.9,715.1,819.4
All acute respiratory infection,All ages,Males,Mid North Coast LHD,Dec-13,720.3,671.7,771.6
All acute respiratory infection,All ages,Males,Mid North Coast LHD,13/14,661.4,615.2,710.3
All acute respiratory infection,All ages,Males,Mid North Coast LHD,14/15,721.8,673.3,772.9
All acute respiratory infection,All ages,Males,Mid North Coast LHD,15/16,777.2,726.1,830.9
All acute respiratory infection,All ages,Males,Mid North Coast LHD,16/17,825.9,773,881.5
All acute respiratory infection,All ages,Males,Mid North Coast LHD,17/18,762.6,712.3,815.6
All acute respiratory infection,All ages,Males,Mid North Coast LHD,18/19,782.4,730.7,836.7
All acute respiratory infection,All ages,Males,Mid North Coast LHD,19/20,687.9,640.1,738.2
All acute respiratory infection,All ages,Males,Mid North Coast LHD,20/21,536,493.9,580.8
All acute respiratory infection,All ages,Males,Southern NSW LHD,1-Feb,811.8,752.2,874.9
All acute respiratory infection,All ages,Males,Southern NSW LHD,2-Mar,719.6,664.4,778.2
All acute respiratory infection,All ages,Males,Southern NSW LHD,3-Apr,760.7,703.9,820.9
All acute respiratory infection,All ages,Males,Southern NSW LHD,4-May,722.6,668,780.4
All acute respiratory infection,All ages,Males,Southern NSW LHD,5-Jun,702.1,648.8,758.7
All acute respiratory infection,All ages,Males,Southern NSW LHD,6-Jul,654.2,603,708.5
All acute respiratory infection,All ages,Males,Southern NSW LHD,7-Aug,736.3,682.8,792.9
All acute respiratory infection,All ages,Males,Southern NSW LHD,8-Sep,736.1,683.4,791.8
All acute respiratory infection,All ages,Males,Southern NSW LHD,9-Oct,761.9,708.8,818.1
All acute respiratory infection,All ages,Males,Southern NSW LHD,10-Nov,842.2,786.5,900.7
All acute respiratory infection,All ages,Males,Southern NSW LHD,11-Dec,857,801.4,915.5
All acute respiratory infection,All ages,Males,Southern NSW LHD,Dec-13,685.4,636.3,737.3
All acute respiratory infection,All ages,Males,Southern NSW LHD,13/14,747.3,695.8,801.5
All acute respiratory infection,All ages,Males,Southern NSW LHD,14/15,674.3,625.9,725.5
All acute respiratory infection,All ages,Males,Southern NSW LHD,15/16,772.7,720.8,827.4
All acute respiratory infection,All ages,Males,Southern NSW LHD,16/17,845.3,791.5,901.9
All acute respiratory infection,All ages,Males,Southern NSW LHD,17/18,847.5,794.3,903.4
All acute respiratory infection,All ages,Males,Southern NSW LHD,18/19,861.3,806.9,918.3
All acute respiratory infection,All ages,Males,Southern NSW LHD,19/20,685,637.6,735.1
All acute respiratory infection,All ages,Males,Southern NSW LHD,20/21,545.3,503.4,589.9
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,1-Feb,"1,048.20",990.3,"1,108.60"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,2-Mar,"1,060.60","1,002.40","1,121.20"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,3-Apr,968.7,913.1,"1,026.90"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,4-May,990,933.4,"1,049.10"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,5-Jun,"1,070.60","1,012.70","1,130.90"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,6-Jul,883,830.7,937.8
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,7-Aug,"1,059.40","1,002.30","1,118.90"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,8-Sep,998.1,943.1,"1,055.50"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,9-Oct,942.6,889.5,998.1
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,10-Nov,962,908.6,"1,017.60"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,11-Dec,"1,043.20",987.8,"1,101.00"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,Dec-13,904.9,853.9,958.3
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,13/14,971.8,919,"1,026.90"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,14/15,"1,028.80",974.8,"1,085.00"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,15/16,"1,068.60","1,013.50","1,126.00"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,16/17,"1,075.90","1,020.80","1,133.30"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,17/18,"1,168.20","1,111.00","1,227.60"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,18/19,"1,218.30","1,159.30","1,279.50"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,19/20,951.4,900,"1,005.10"
All acute respiratory infection,All ages,Males,Murrumbidgee LHD,20/21,763.7,717.5,812.2
All acute respiratory infection,All ages,Males,Western NSW LHD,1-Feb,"1,248.60","1,189.20","1,310.40"
All acute respiratory infection,All ages,Males,Western NSW LHD,2-Mar,"1,228.20","1,168.80","1,289.80"
All acute respiratory infection,All ages,Males,Western NSW LHD,3-Apr,"1,329.00","1,267.00","1,393.40"
All acute respiratory infection,All ages,Males,Western NSW LHD,4-May,"1,164.80","1,106.30","1,225.60"
All acute respiratory infection,All ages,Males,Western NSW LHD,5-Jun,"1,167.90","1,110.10","1,227.90"
All acute respiratory infection,All ages,Males,Western NSW LHD,6-Jul,"1,059.70","1,005.10","1,116.50"
All acute respiratory infection,All ages,Males,Western NSW LHD,7-Aug,"1,198.90","1,141.20","1,258.90"
All acute respiratory infection,All ages,Males,Western NSW LHD,8-Sep,"1,022.80",969.9,"1,077.80"
All acute respiratory infection,All ages,Males,Western NSW LHD,9-Oct,"1,073.30","1,019.50","1,129.30"
All acute respiratory infection,All ages,Males,Western NSW LHD,10-Nov,"1,034.40",982.1,"1,088.80"
All acute respiratory infection,All ages,Males,Western NSW LHD,11-Dec,"1,021.20",969.8,"1,074.70"
All acute respiratory infection,All ages,Males,Western NSW LHD,Dec-13,"1,013.40",962.7,"1,066.30"
All acute respiratory infection,All ages,Males,Western NSW LHD,13/14,923.5,875.3,973.7
All acute respiratory infection,All ages,Males,Western NSW LHD,14/15,982,932.6,"1,033.50"
All acute respiratory infection,All ages,Males,Western NSW LHD,15/16,"1,036.20",985.3,"1,089.20"
All acute respiratory infection,All ages,Males,Western NSW LHD,16/17,"1,125.20","1,072.60","1,179.80"
All acute respiratory infection,All ages,Males,Western NSW LHD,17/18,"1,088.90","1,037.10","1,142.80"
All acute respiratory infection,All ages,Males,Western NSW LHD,18/19,"1,085.80","1,033.80","1,139.70"
All acute respiratory infection,All ages,Males,Western NSW LHD,19/20,949.1,900.6,999.5
All acute respiratory infection,All ages,Males,Western NSW LHD,20/21,677.2,636.4,720
All acute respiratory infection,All ages,Males,All LHDs,1-Feb,641.1,632.1,650.1
All acute respiratory infection,All ages,Males,All LHDs,2-Mar,625.1,616.3,634
All acute respiratory infection,All ages,Males,All LHDs,3-Apr,638,629.2,646.9
All acute respiratory infection,All ages,Males,All LHDs,4-May,616.7,608.1,625.5
All acute respiratory infection,All ages,Males,All LHDs,5-Jun,616.5,608,625.2
All acute respiratory infection,All ages,Males,All LHDs,6-Jul,614.6,606.1,623.2
All acute respiratory infection,All ages,Males,All LHDs,7-Aug,681.9,673.1,690.9
All acute respiratory infection,All ages,Males,All LHDs,8-Sep,637.1,628.7,645.6
All acute respiratory infection,All ages,Males,All LHDs,9-Oct,625.2,616.9,633.5
All acute respiratory infection,All ages,Males,All LHDs,10-Nov,642.9,634.7,651.3
All acute respiratory infection,All ages,Males,All LHDs,11-Dec,676.2,667.7,684.6
All acute respiratory infection,All ages,Males,All LHDs,Dec-13,640.7,632.6,648.8
All acute respiratory infection,All ages,Males,All LHDs,13/14,650.9,642.8,659.1
All acute respiratory infection,All ages,Males,All LHDs,14/15,701.7,693.4,710.1
All acute respiratory infection,All ages,Males,All LHDs,15/16,713.8,705.5,722.2
All acute respiratory infection,All ages,Males,All LHDs,16/17,732.3,724,740.7
All acute respiratory infection,All ages,Males,All LHDs,17/18,786.8,778.3,795.5
All acute respiratory infection,All ages,Males,All LHDs,18/19,792.1,783.5,800.7
All acute respiratory infection,All ages,Males,All LHDs,19/20,684.3,676.4,692.2
All acute respiratory infection,All ages,Males,All LHDs,20/21,512.4,505.6,519.3
All acute respiratory infection,All ages,Females,Sydney LHD,1-Feb,386.2,361.5,412.1
All acute respiratory infection,All ages,Females,Sydney LHD,2-Mar,390.6,365.9,416.5
All acute respiratory infection,All ages,Females,Sydney LHD,3-Apr,397.8,373,423.8
All acute respiratory infection,All ages,Females,Sydney LHD,4-May,384.1,360.1,409.3
All acute respiratory infection,All ages,Females,Sydney LHD,5-Jun,354.4,331.3,378.8
All acute respiratory infection,All ages,Females,Sydney LHD,6-Jul,359.3,336.4,383.3
All acute respiratory infection,All ages,Females,Sydney LHD,7-Aug,401.8,378,426.7
All acute respiratory infection,All ages,Females,Sydney LHD,8-Sep,399.1,375.6,423.7
All acute respiratory infection,All ages,Females,Sydney LHD,9-Oct,399.3,375.9,423.8
All acute respiratory infection,All ages,Females,Sydney LHD,10-Nov,428.1,404,453.2
All acute respiratory infection,All ages,Females,Sydney LHD,11-Dec,452.4,428,477.9
All acute respiratory infection,All ages,Females,Sydney LHD,Dec-13,439.4,415.8,464.1
All acute respiratory infection,All ages,Females,Sydney LHD,13/14,445.7,422.1,470.3
All acute respiratory infection,All ages,Females,Sydney LHD,14/15,492.3,467.7,517.8
All acute respiratory infection,All ages,Females,Sydney LHD,15/16,493.2,468.8,518.5
All acute respiratory infection,All ages,Females,Sydney LHD,16/17,537.4,512.2,563.6
All acute respiratory infection,All ages,Females,Sydney LHD,17/18,571.7,546.1,598.3
All acute respiratory infection,All ages,Females,Sydney LHD,18/19,546.8,521.8,572.8
All acute respiratory infection,All ages,Females,Sydney LHD,19/20,497,473.3,521.7
All acute respiratory infection,All ages,Females,Sydney LHD,20/21,330.2,310.5,350.7
All acute respiratory infection,All ages,Females,South Western Sydney LHD,1-Feb,418.5,398.5,439.2
All acute respiratory infection,All ages,Females,South Western Sydney LHD,2-Mar,454.6,433.8,476.1
All acute respiratory infection,All ages,Females,South Western Sydney LHD,3-Apr,466,445,487.6
All acute respiratory infection,All ages,Females,South Western Sydney LHD,4-May,443.3,422.9,464.3
All acute respiratory infection,All ages,Females,South Western Sydney LHD,5-Jun,471,450.3,492.5
All acute respiratory infection,All ages,Females,South Western Sydney LHD,6-Jul,469.7,449.2,490.9
All acute respiratory infection,All ages,Females,South Western Sydney LHD,7-Aug,522.5,501.1,544.6
All acute respiratory infection,All ages,Females,South Western Sydney LHD,8-Sep,473.4,453.2,494.3
All acute respiratory infection,All ages,Females,South Western Sydney LHD,9-Oct,505,484.4,526.3
All acute respiratory infection,All ages,Females,South Western Sydney LHD,10-Nov,539.3,518.1,561.1
All acute respiratory infection,All ages,Females,South Western Sydney LHD,11-Dec,625.2,602.5,648.5
All acute respiratory infection,All ages,Females,South Western Sydney LHD,Dec-13,565.8,544.4,587.7
All acute respiratory infection,All ages,Females,South Western Sydney LHD,13/14,590.7,569.1,613
All acute respiratory infection,All ages,Females,South Western Sydney LHD,14/15,658.3,635.7,681.5
All acute respiratory infection,All ages,Females,South Western Sydney LHD,15/16,660.4,638,683.3
All acute respiratory infection,All ages,Females,South Western Sydney LHD,16/17,716,693,739.5
All acute respiratory infection,All ages,Females,South Western Sydney LHD,17/18,791.3,767.4,815.7
All acute respiratory infection,All ages,Females,South Western Sydney LHD,18/19,767.2,743.9,791
All acute respiratory infection,All ages,Females,South Western Sydney LHD,19/20,655.1,633.8,676.9
All acute respiratory infection,All ages,Females,South Western Sydney LHD,20/21,460.7,442.9,479
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,1-Feb,346.9,328.7,365.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,2-Mar,384.2,365,404.1
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,3-Apr,382.2,363.2,401.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,4-May,375.4,356.5,394.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,5-Jun,389.8,370.5,409.8
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,6-Jul,366.7,348.3,385.7
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,7-Aug,434.4,414.6,454.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,8-Sep,385.4,367,404.5
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,9-Oct,409.3,390.3,429
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,10-Nov,391.2,372.8,410.2
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,11-Dec,446.7,427.3,466.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,Dec-13,388.1,370.3,406.6
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,13/14,404.9,386.6,423.8
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,14/15,472.1,452.5,492.3
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,15/16,444.8,425.9,464.4
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,16/17,444.5,426,463.7
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,17/18,492.7,473.2,512.9
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,18/19,559.9,539,581.5
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,19/20,496.3,476.7,516.5
All acute respiratory infection,All ages,Females,South Eastern Sydney LHD,20/21,302.4,286.6,318.9
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,1-Feb,372.6,345.4,401.4
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,2-Mar,341.4,315.6,368.7
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,3-Apr,397.2,369.3,426.7
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,4-May,413.5,384.9,443.7
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,5-Jun,404.3,376.2,433.9
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,6-Jul,388.5,361.1,417.4
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,7-Aug,431.2,402.4,461.5
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,8-Sep,477.5,447.6,508.9
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,9-Oct,432.2,404.1,461.7
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,10-Nov,451.8,423.5,481.5
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,11-Dec,449.1,421.1,478.5
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,Dec-13,459.3,431.4,488.6
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,13/14,448.7,421.1,477.7
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,14/15,513.3,483.8,544.1
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,15/16,471.9,443.9,501.3
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,16/17,471.7,443.8,500.9
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,17/18,564.6,534.4,596.1
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,18/19,554.6,524.6,585.9
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,19/20,522.1,493.1,552.3
All acute respiratory infection,All ages,Females,Illawarra Shoalhaven LHD,20/21,333.6,310.1,358.5
All acute respiratory infection,All ages,Females,Western Sydney LHD,1-Feb,403.3,382.5,425
All acute respiratory infection,All ages,Females,Western Sydney LHD,2-Mar,374.7,354.7,395.6
All acute respiratory infection,All ages,Females,Western Sydney LHD,3-Apr,398.2,377.8,419.5
All acute respiratory infection,All ages,Females,Western Sydney LHD,4-May,375.4,355.6,396
All acute respiratory infection,All ages,Females,Western Sydney LHD,5-Jun,376.8,357.3,397.2
All acute respiratory infection,All ages,Females,Western Sydney LHD,6-Jul,407.1,387,428
All acute respiratory infection,All ages,Females,Western Sydney LHD,7-Aug,432.7,412.3,453.9
All acute respiratory infection,All ages,Females,Western Sydney LHD,8-Sep,442.8,422.3,464
All acute respiratory infection,All ages,Females,Western Sydney LHD,9-Oct,389.5,370.6,409
All acute respiratory infection,All ages,Females,Western Sydney LHD,10-Nov,443.9,423.9,464.5
All acute respiratory infection,All ages,Females,Western Sydney LHD,11-Dec,486.6,465.9,507.9
All acute respiratory infection,All ages,Females,Western Sydney LHD,Dec-13,479.8,459.5,500.8
All acute respiratory infection,All ages,Females,Western Sydney LHD,13/14,539.3,518,561.2
All acute respiratory infection,All ages,Females,Western Sydney LHD,14/15,606.6,584.3,629.6
All acute respiratory infection,All ages,Females,Western Sydney LHD,15/16,574.6,553.2,596.7
All acute respiratory infection,All ages,Females,Western Sydney LHD,16/17,590.1,568.6,612.3
All acute respiratory infection,All ages,Females,Western Sydney LHD,17/18,624.1,602.3,646.5
All acute respiratory infection,All ages,Females,Western Sydney LHD,18/19,692.2,669.5,715.4
All acute respiratory infection,All ages,Females,Western Sydney LHD,19/20,570.9,550.5,591.8
All acute respiratory infection,All ages,Females,Western Sydney LHD,20/21,489,470.4,508.2
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,1-Feb,539.4,504.6,576
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,2-Mar,548.5,513.4,585.3
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,3-Apr,567.5,531.7,605
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,4-May,576.8,540.7,614.8
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,5-Jun,544.4,509.5,581.1
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,6-Jul,605.4,568.7,643.8
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,7-Aug,688.3,649.4,728.9
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,8-Sep,613.4,577,651.6
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,9-Oct,567.9,533.1,604.4
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,10-Nov,654.9,617.6,693.8
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,11-Dec,617,581.3,654.4
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,Dec-13,594.6,559.7,631.1
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,13/14,608.8,573.7,645.4
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,14/15,653.2,617.3,690.6
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,15/16,658.4,622.3,696
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,16/17,683,646.6,720.9
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,17/18,804.2,764.8,845.1
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,18/19,793.7,754.7,834.2
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,19/20,694.4,658.4,731.8
All acute respiratory infection,All ages,Females,Nepean Blue Mountains LHD,20/21,479.9,449.7,511.6
All acute respiratory infection,All ages,Females,Northern Sydney LHD,1-Feb,323.3,306,341.3
All acute respiratory infection,All ages,Females,Northern Sydney LHD,2-Mar,305.4,288.7,322.7
All acute respiratory infection,All ages,Females,Northern Sydney LHD,3-Apr,342.8,325.1,361.1
All acute respiratory infection,All ages,Females,Northern Sydney LHD,4-May,354.1,336.2,372.6
All acute respiratory infection,All ages,Females,Northern Sydney LHD,5-Jun,362,344.1,380.7
All acute respiratory infection,All ages,Females,Northern Sydney LHD,6-Jul,328.3,311.3,346
All acute respiratory infection,All ages,Females,Northern Sydney LHD,7-Aug,374.9,357,393.5
All acute respiratory infection,All ages,Females,Northern Sydney LHD,8-Sep,392.4,374.1,411.3
All acute respiratory infection,All ages,Females,Northern Sydney LHD,9-Oct,374.1,356.4,392.4
All acute respiratory infection,All ages,Females,Northern Sydney LHD,10-Nov,433.1,414.1,452.7
All acute respiratory infection,All ages,Females,Northern Sydney LHD,11-Dec,448.1,429,467.8
All acute respiratory infection,All ages,Females,Northern Sydney LHD,Dec-13,407.7,389.7,426.3
All acute respiratory infection,All ages,Females,Northern Sydney LHD,13/14,395.8,378.2,414.1
All acute respiratory infection,All ages,Females,Northern Sydney LHD,14/15,505.7,485.8,526.1
All acute respiratory infection,All ages,Females,Northern Sydney LHD,15/16,500.9,481.3,521.1
All acute respiratory infection,All ages,Females,Northern Sydney LHD,16/17,510.2,490.5,530.4
All acute respiratory infection,All ages,Females,Northern Sydney LHD,17/18,521.4,501.7,541.6
All acute respiratory infection,All ages,Females,Northern Sydney LHD,18/19,567.6,546.7,589.1
All acute respiratory infection,All ages,Females,Northern Sydney LHD,19/20,490.1,470.9,509.9
All acute respiratory infection,All ages,Females,Northern Sydney LHD,20/21,317,300.9,333.8
All acute respiratory infection,All ages,Females,Central Coast LHD,1-Feb,385.5,356.2,416.7
All acute respiratory infection,All ages,Females,Central Coast LHD,2-Mar,432.2,401.1,465.1
All acute respiratory infection,All ages,Females,Central Coast LHD,3-Apr,429.8,398.8,462.6
All acute respiratory infection,All ages,Females,Central Coast LHD,4-May,380.7,351.6,411.7
All acute respiratory infection,All ages,Females,Central Coast LHD,5-Jun,432.5,401.3,465.5
All acute respiratory infection,All ages,Females,Central Coast LHD,6-Jul,404.8,374.9,436.4
All acute respiratory infection,All ages,Females,Central Coast LHD,7-Aug,419.6,389.7,451.2
All acute respiratory infection,All ages,Females,Central Coast LHD,8-Sep,480.5,448.5,514.3
All acute respiratory infection,All ages,Females,Central Coast LHD,9-Oct,465.5,433.8,498.9
All acute respiratory infection,All ages,Females,Central Coast LHD,10-Nov,476.1,444.7,509.1
All acute respiratory infection,All ages,Females,Central Coast LHD,11-Dec,469,438.2,501.3
All acute respiratory infection,All ages,Females,Central Coast LHD,Dec-13,435,405.5,466.2
All acute respiratory infection,All ages,Females,Central Coast LHD,13/14,447.4,417.6,478.9
All acute respiratory infection,All ages,Females,Central Coast LHD,14/15,584.1,549,620.8
All acute respiratory infection,All ages,Females,Central Coast LHD,15/16,589.9,554.9,626.6
All acute respiratory infection,All ages,Females,Central Coast LHD,16/17,556.2,522.6,591.4
All acute respiratory infection,All ages,Females,Central Coast LHD,17/18,631,595.3,668.3
All acute respiratory infection,All ages,Females,Central Coast LHD,18/19,673.9,636.6,712.8
All acute respiratory infection,All ages,Females,Central Coast LHD,19/20,609.1,573.9,645.9
All acute respiratory infection,All ages,Females,Central Coast LHD,20/21,438.5,407.8,470.7
All acute respiratory infection,All ages,Females,Hunter New England LHD,1-Feb,548.3,526.3,570.9
All acute respiratory infection,All ages,Females,Hunter New England LHD,2-Mar,581.7,559.1,604.9
All acute respiratory infection,All ages,Females,Hunter New England LHD,3-Apr,586.1,563.5,609.4
All acute respiratory infection,All ages,Females,Hunter New England LHD,4-May,564.5,542.3,587.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,5-Jun,535.7,514.2,557.9
All acute respiratory infection,All ages,Females,Hunter New England LHD,6-Jul,507.9,487,529.5
All acute respiratory infection,All ages,Females,Hunter New England LHD,7-Aug,597.2,574.7,620.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,8-Sep,511,490.5,532.2
All acute respiratory infection,All ages,Females,Hunter New England LHD,9-Oct,508.6,488.2,529.6
All acute respiratory infection,All ages,Females,Hunter New England LHD,10-Nov,558.8,537.6,580.7
All acute respiratory infection,All ages,Females,Hunter New England LHD,11-Dec,557.8,536.6,579.7
All acute respiratory infection,All ages,Females,Hunter New England LHD,Dec-13,504.4,484.5,524.9
All acute respiratory infection,All ages,Females,Hunter New England LHD,13/14,544,523.3,565.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,14/15,602.9,581.4,625.1
All acute respiratory infection,All ages,Females,Hunter New England LHD,15/16,610.9,589.2,633.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,16/17,667.2,644.7,690.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,17/18,717.6,694.4,741.3
All acute respiratory infection,All ages,Females,Hunter New England LHD,18/19,648.6,626.4,671.4
All acute respiratory infection,All ages,Females,Hunter New England LHD,19/20,566.8,546.4,587.8
All acute respiratory infection,All ages,Females,Hunter New England LHD,20/21,382.3,365.3,399.8
All acute respiratory infection,All ages,Females,Northern NSW LHD,1-Feb,695.8,651.3,742.5
All acute respiratory infection,All ages,Females,Northern NSW LHD,2-Mar,692.3,648.9,737.8
All acute respiratory infection,All ages,Females,Northern NSW LHD,3-Apr,668.6,625.8,713.5
All acute respiratory infection,All ages,Females,Northern NSW LHD,4-May,577.4,537.1,619.8
All acute respiratory infection,All ages,Females,Northern NSW LHD,5-Jun,626.1,584.7,669.6
All acute respiratory infection,All ages,Females,Northern NSW LHD,6-Jul,561.6,522.3,603
All acute respiratory infection,All ages,Females,Northern NSW LHD,7-Aug,704.9,661.3,750.6
All acute respiratory infection,All ages,Females,Northern NSW LHD,8-Sep,709.4,666.1,754.8
All acute respiratory infection,All ages,Females,Northern NSW LHD,9-Oct,682.8,640.3,727.4
All acute respiratory infection,All ages,Females,Northern NSW LHD,10-Nov,659.4,617.7,703.2
All acute respiratory infection,All ages,Females,Northern NSW LHD,11-Dec,633,592.8,675.3
All acute respiratory infection,All ages,Females,Northern NSW LHD,Dec-13,614.5,574.9,656.2
All acute respiratory infection,All ages,Females,Northern NSW LHD,13/14,567.3,529.2,607.4
All acute respiratory infection,All ages,Females,Northern NSW LHD,14/15,671.8,630,715.6
All acute respiratory infection,All ages,Females,Northern NSW LHD,15/16,723.2,679.6,768.7
All acute respiratory infection,All ages,Females,Northern NSW LHD,16/17,650.7,610.3,693.1
All acute respiratory infection,All ages,Females,Northern NSW LHD,17/18,730.6,687.8,775.3
All acute respiratory infection,All ages,Females,Northern NSW LHD,18/19,734.9,690.9,780.8
All acute respiratory infection,All ages,Females,Northern NSW LHD,19/20,675.3,634.2,718.3
All acute respiratory infection,All ages,Females,Northern NSW LHD,20/21,449.1,415.1,485.2
All acute respiratory infection,All ages,Females,Mid North Coast LHD,1-Feb,686.5,633.9,742.3
All acute respiratory infection,All ages,Females,Mid North Coast LHD,2-Mar,658.3,608.3,711.3
All acute respiratory infection,All ages,Females,Mid North Coast LHD,3-Apr,729.7,676.4,786
