year-month,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2016-12,Western Sydney,17.7,20.5,19.1
2017-01,Western Sydney,16.3,12.3,14.3
2017-02,Western Sydney,22.9,30.3,26.8
2017-03,Western Sydney,23.9,28.7,26.3
2017-04,Western Sydney,28.3,25.4,26.9
2017-05,Western Sydney,36.9,33.6,35.4
2017-06,Western Sydney,32.8,31.5,32.3
2017-07,Western Sydney,29.6,21.6,25.8
2017-08,Western Sydney,26.2,22.1,24.1
2017-09,Western Sydney,24.5,20.1,22.5
2017-10,Western Sydney,18.2,18.4,18.2
2017-11,Western Sydney,18.6,25.6,22.3
2017-12,Western Sydney,18.8,19.5,19.2
2018-01,Western Sydney,17.6,13.3,15.6
2018-02,Western Sydney,21.7,27.5,24.8
2018-03,Western Sydney,21.0,26.7,23.9
2018-04,Western Sydney,22.6,15.9,19.2
2018-05,Western Sydney,27.9,29.8,29.0
2018-06,Western Sydney,23.2,21.6,22.4
2018-07,Western Sydney,23.2,14.7,18.9
2018-08,Western Sydney,19.4,17.2,18.5
2018-09,Western Sydney,21.4,20.8,21.2
2018-10,Western Sydney,18.3,16.0,17.2
2018-11,Western Sydney,20.6,16.9,18.7
2018-12,Western Sydney,18.0,17.1,17.6
2019-01,Western Sydney,19.1,15.5,17.4
2019-02,Western Sydney,20.3,26.1,23.3
2019-03,Western Sydney,28.1,28.6,28.4
2019-04,Western Sydney,23.8,28.4,26.2
2019-05,Western Sydney,32.2,30.6,31.5
2019-06,Western Sydney,32.9,24.2,28.6
2019-07,Western Sydney,22.7,13.9,18.2
2019-08,Western Sydney,29.3,20.3,24.9
2019-09,Western Sydney,22.5,19.3,21.0
2019-10,Western Sydney,21.1,19.0,20.2
2019-11,Western Sydney,23.7,19.1,21.4
2019-12,Western Sydney,27.2,19.5,23.5
2020-01,Western Sydney,16.1,13.1,14.6
2020-02,Western Sydney,18.8,22.0,20.5
2020-03,Western Sydney,22.0,22.8,22.5
2020-04,Western Sydney,11.7,7.9,9.8
2020-05,Western Sydney,8.8,5.9,7.3
2020-06,Western Sydney,20.2,19.7,20.0
2020-07,Western Sydney,14.5,15.7,15.1
2020-08,Western Sydney,14.1,18.2,16.2
2020-09,Western Sydney,14.8,12.1,13.5
2020-10,Western Sydney,10.1,11.3,10.7
2020-11,Western Sydney,15.0,18.3,16.8
2020-12,Western Sydney,11.5,7.8,9.7
2021-01,Western Sydney,7.6,6.7,7.2
2021-02,Western Sydney,16.0,18.2,17.2
2021-03,Western Sydney,17.0,19.8,18.5
2021-04,Western Sydney,17.7,15.3,16.6
2021-05,Western Sydney,23.0,26.6,24.9
2021-06,Western Sydney,22.8,18.0,20.5
2021-07,Western Sydney,10.5,9.3,9.9
2021-08,Western Sydney,8.1,6.3,7.2
2021-09,Western Sydney,5.2,5.4,5.3
2021-10,Western Sydney,8.7,6.5,7.6
2021-11,Western Sydney,12.2,11.6,11.9
2021-12,Western Sydney,10.4,7.9,9.1
2022-01,Western Sydney,10.9,6.7,8.7
2022-02,Western Sydney,14.0,14.9,14.5
2022-03,Western Sydney,21.7,27.5,24.7
2022-04,Western Sydney,31.6,30.5,31.0
2022-05,Western Sydney,32.4,39.6,36.2
2022-06,Western Sydney,23.1,19.7,21.5
2022-07,Western Sydney,17.0,15.7,16.4
2022-08,Western Sydney,27.4,20.3,23.9
2022-09,Western Sydney,17.7,17.5,17.5
2022-10,Western Sydney,19.0,17.3,18.2
2022-11,Western Sydney,16.3,18.7,17.6
2022-12,Western Sydney,15.1,13.5,14.4
2023-01,Western Sydney,11.9,10.7,11.4
2023-02,Western Sydney,19.3,23.6,21.6
2023-03,Western Sydney,16.2,14.0,15.1
2023-04,Western Sydney,22.1,18.0,20.2
2023-05,Western Sydney,22.9,21.9,22.5
2023-06,Western Sydney,15.3,18.3,16.8
2023-07,Western Sydney,15.3,18.3,16.8
2023-08,Western Sydney,15.3,18.3,16.8
2023-09,Western Sydney,15.3,18.3,16.8
2023-10,Western Sydney,15.3,18.3,16.8
2023-11,Western Sydney,15.3,18.3,16.8
2023-12,Western Sydney,15.3,18.3,16.8
2024-01,Western Sydney,15.3,18.3,16.8
2024-02,Western Sydney,15.3,18.3,16.8
2024-03,Western Sydney,15.3,18.3,16.8
2024-04,Western Sydney,15.3,18.3,16.8
2024-05,Western Sydney,15.3,18.3,16.8
2024-06,Western Sydney,15.3,18.3,16.8
