acute respiratory infection,sex,lhd,financial year,"rate per 100,000 population"
All acute respiratory infection,Males,Northern NSW,2017/2018,904.3
All acute respiratory infection,Males,Northern NSW,2018/2019,850.6
All acute respiratory infection,Males,Northern NSW,2019/2020,770.1
All acute respiratory infection,Males,Northern NSW,2020/2021,525.1
All acute respiratory infection,Males,Mid North Coast,2001/2002,837.5
All acute respiratory infection,Males,Mid North Coast,2002/2003,875.4
All acute respiratory infection,Males,Mid North Coast,2003/2004,994.5
All acute respiratory infection,Males,Mid North Coast,2004/2005,814.4
All acute respiratory infection,Males,Mid North Coast,2005/2006,786.5
All acute respiratory infection,Males,Mid North Coast,2006/2007,741.5
All acute respiratory infection,Males,Mid North Coast,2007/2008,875.3
All acute respiratory infection,Males,Mid North Coast,2008/2009,803.1
All acute respiratory infection,Males,Mid North Coast,2009/2010,789.1
All acute respiratory infection,Males,Mid North Coast,2010/2011,704.9
All acute respiratory infection,Males,Mid North Coast,2011/2012,765.9
All acute respiratory infection,Males,Mid North Coast,2012/2013,720.3
All acute respiratory infection,Males,Mid North Coast,2013/2014,661.4
All acute respiratory infection,Males,Mid North Coast,2014/2015,721.8
All acute respiratory infection,Males,Mid North Coast,2015/2016,777.2
All acute respiratory infection,Males,Mid North Coast,2016/2017,825.9
All acute respiratory infection,Males,Mid North Coast,2017/2018,762.6
All acute respiratory infection,Males,Mid North Coast,2018/2019,782.4
All acute respiratory infection,Males,Mid North Coast,2019/2020,687.9
All acute respiratory infection,Males,Mid North Coast,2020/2021,536
All acute respiratory infection,Males,Southern NSW,2001/2002,811.8
All acute respiratory infection,Males,Southern NSW,2002/2003,719.6
All acute respiratory infection,Males,Southern NSW,2003/2004,760.7
All acute respiratory infection,Males,Southern NSW,2004/2005,722.6
All acute respiratory infection,Males,Southern NSW,2005/2006,702.1
All acute respiratory infection,Males,Southern NSW,2006/2007,654.2
All acute respiratory infection,Males,Southern NSW,2007/2008,736.3
All acute respiratory infection,Males,Southern NSW,2008/2009,736.1
All acute respiratory infection,Males,Southern NSW,2009/2010,761.9
All acute respiratory infection,Males,Southern NSW,2010/2011,842.2
All acute respiratory infection,Males,Southern NSW,2011/2012,857
All acute respiratory infection,Males,Southern NSW,2012/2013,685.4
All acute respiratory infection,Males,Southern NSW,2013/2014,747.3
All acute respiratory infection,Males,Southern NSW,2014/2015,674.3
All acute respiratory infection,Males,Southern NSW,2015/2016,772.7
All acute respiratory infection,Males,Southern NSW,2016/2017,845.3
All acute respiratory infection,Males,Southern NSW,2017/2018,847.5
All acute respiratory infection,Males,Southern NSW,2018/2019,861.3
All acute respiratory infection,Males,Southern NSW,2019/2020,685
All acute respiratory infection,Males,Southern NSW,2020/2021,545.3
All acute respiratory infection,Males,Murrumbidgee,2001/2002,"1,048.20"
All acute respiratory infection,Males,Murrumbidgee,2002/2003,"1,060.60"
All acute respiratory infection,Males,Murrumbidgee,2003/2004,968.7
All acute respiratory infection,Males,Murrumbidgee,2004/2005,990
All acute respiratory infection,Males,Murrumbidgee,2005/2006,"1,070.60"
All acute respiratory infection,Males,Murrumbidgee,2006/2007,883
All acute respiratory infection,Males,Murrumbidgee,2007/2008,"1,059.40"
All acute respiratory infection,Males,Murrumbidgee,2008/2009,998.1
All acute respiratory infection,Males,Murrumbidgee,2009/2010,942.6
All acute respiratory infection,Males,Murrumbidgee,2010/2011,962
All acute respiratory infection,Males,Murrumbidgee,2011/2012,"1,043.20"
All acute respiratory infection,Males,Murrumbidgee,2012/2013,904.9
All acute respiratory infection,Males,Murrumbidgee,2013/2014,971.8
All acute respiratory infection,Males,Murrumbidgee,2014/2015,"1,028.80"
All acute respiratory infection,Males,Murrumbidgee,2015/2016,"1,068.60"
All acute respiratory infection,Males,Murrumbidgee,2016/2017,"1,075.90"
All acute respiratory infection,Males,Murrumbidgee,2017/2018,"1,168.20"
All acute respiratory infection,Males,Murrumbidgee,2018/2019,"1,218.30"
All acute respiratory infection,Males,Murrumbidgee,2019/2020,951.4
All acute respiratory infection,Males,Murrumbidgee,2020/2021,763.7
All acute respiratory infection,Males,Western NSW,2001/2002,"1,248.60"
All acute respiratory infection,Males,Western NSW,2002/2003,"1,228.20"
All acute respiratory infection,Males,Western NSW,2003/2004,"1,329.00"
All acute respiratory infection,Males,Western NSW,2004/2005,"1,164.80"
All acute respiratory infection,Males,Western NSW,2005/2006,"1,167.90"
All acute respiratory infection,Males,Western NSW,2006/2007,"1,059.70"
All acute respiratory infection,Males,Western NSW,2007/2008,"1,198.90"
All acute respiratory infection,Males,Western NSW,2008/2009,"1,022.80"
All acute respiratory infection,Males,Western NSW,2009/2010,"1,073.30"
All acute respiratory infection,Males,Western NSW,2010/2011,"1,034.40"
All acute respiratory infection,Males,Western NSW,2011/2012,"1,021.20"
All acute respiratory infection,Males,Western NSW,2012/2013,"1,013.40"
All acute respiratory infection,Males,Western NSW,2013/2014,923.5
All acute respiratory infection,Males,Western NSW,2014/2015,982
All acute respiratory infection,Males,Western NSW,2015/2016,"1,036.20"
All acute respiratory infection,Males,Western NSW,2016/2017,"1,125.20"
All acute respiratory infection,Males,Western NSW,2017/2018,"1,088.90"
All acute respiratory infection,Males,Western NSW,2018/2019,"1,085.80"
All acute respiratory infection,Males,Western NSW,2019/2020,949.1
All acute respiratory infection,Males,Western NSW,2020/2021,677.2
All acute respiratory infection,Females,Sydney,2001/2002,386.2
All acute respiratory infection,Females,Sydney,2002/2003,390.6
All acute respiratory infection,Females,Sydney,2003/2004,397.8
All acute respiratory infection,Females,Sydney,2004/2005,384.1
All acute respiratory infection,Females,Sydney,2005/2006,354.4
All acute respiratory infection,Females,Sydney,2006/2007,359.3
All acute respiratory infection,Females,Sydney,2007/2008,401.8
All acute respiratory infection,Females,Sydney,2008/2009,399.1
All acute respiratory infection,Females,Sydney,2009/2010,399.3
All acute respiratory infection,Females,Sydney,2010/2011,428.1
All acute respiratory infection,Females,Sydney,2011/2012,452.4
All acute respiratory infection,Females,Sydney,2012/2013,439.4
All acute respiratory infection,Females,Sydney,2013/2014,445.7
All acute respiratory infection,Females,Sydney,2014/2015,492.3
All acute respiratory infection,Females,Sydney,2015/2016,493.2
All acute respiratory infection,Females,Sydney,2016/2017,537.4
All acute respiratory infection,Females,Sydney,2017/2018,571.7
All acute respiratory infection,Females,Sydney,2018/2019,546.8
All acute respiratory infection,Females,Sydney,2019/2020,497
All acute respiratory infection,Females,Sydney,2020/2021,330.2
All acute respiratory infection,Females,South Western Sydney,2001/2002,418.5
All acute respiratory infection,Females,South Western Sydney,2002/2003,454.6
All acute respiratory infection,Females,South Western Sydney,2003/2004,466
All acute respiratory infection,Females,South Western Sydney,2004/2005,443.3
All acute respiratory infection,Females,South Western Sydney,2005/2006,471
All acute respiratory infection,Females,South Western Sydney,2006/2007,469.7
All acute respiratory infection,Females,South Western Sydney,2007/2008,522.5
All acute respiratory infection,Females,South Western Sydney,2008/2009,473.4
All acute respiratory infection,Females,South Western Sydney,2009/2010,505
All acute respiratory infection,Females,South Western Sydney,2010/2011,539.3
All acute respiratory infection,Females,South Western Sydney,2011/2012,625.2
All acute respiratory infection,Females,South Western Sydney,2012/2013,565.8
All acute respiratory infection,Females,South Western Sydney,2013/2014,590.7
All acute respiratory infection,Females,South Western Sydney,2014/2015,658.3
All acute respiratory infection,Females,South Western Sydney,2015/2016,660.4
All acute respiratory infection,Females,South Western Sydney,2016/2017,716
All acute respiratory infection,Females,South Western Sydney,2017/2018,791.3
All acute respiratory infection,Females,South Western Sydney,2018/2019,767.2
All acute respiratory infection,Females,South Western Sydney,2019/2020,655.1
All acute respiratory infection,Females,South Western Sydney,2020/2021,460.7
All acute respiratory infection,Females,South Eastern Sydney,2001/2002,346.9
All acute respiratory infection,Females,South Eastern Sydney,2002/2003,384.2
All acute respiratory infection,Females,South Eastern Sydney,2003/2004,382.2
All acute respiratory infection,Females,South Eastern Sydney,2004/2005,375.4
All acute respiratory infection,Females,South Eastern Sydney,2005/2006,389.8
All acute respiratory infection,Females,South Eastern Sydney,2006/2007,366.7
All acute respiratory infection,Females,South Eastern Sydney,2007/2008,434.4
All acute respiratory infection,Females,South Eastern Sydney,2008/2009,385.4
All acute respiratory infection,Females,South Eastern Sydney,2009/2010,409.3
All acute respiratory infection,Females,South Eastern Sydney,2010/2011,391.2
All acute respiratory infection,Females,South Eastern Sydney,2011/2012,446.7
All acute respiratory infection,Females,South Eastern Sydney,2012/2013,388.1
All acute respiratory infection,Females,South Eastern Sydney,2013/2014,404.9
All acute respiratory infection,Females,South Eastern Sydney,2014/2015,472.1
All acute respiratory infection,Females,South Eastern Sydney,2015/2016,444.8
All acute respiratory infection,Females,South Eastern Sydney,2016/2017,444.5
All acute respiratory infection,Females,South Eastern Sydney,2017/2018,492.7
All acute respiratory infection,Females,South Eastern Sydney,2018/2019,559.9
All acute respiratory infection,Females,South Eastern Sydney,2019/2020,496.3
All acute respiratory infection,Females,South Eastern Sydney,2020/2021,302.4
All acute respiratory infection,Females,Illawarra Shoalhaven,2001/2002,372.6
All acute respiratory infection,Females,Illawarra Shoalhaven,2002/2003,341.4
All acute respiratory infection,Females,Illawarra Shoalhaven,2003/2004,397.2
All acute respiratory infection,Females,Illawarra Shoalhaven,2004/2005,413.5
All acute respiratory infection,Females,Illawarra Shoalhaven,2005/2006,404.3
All acute respiratory infection,Females,Illawarra Shoalhaven,2006/2007,388.5
All acute respiratory infection,Females,Illawarra Shoalhaven,2007/2008,431.2
All acute respiratory infection,Females,Illawarra Shoalhaven,2008/2009,477.5
All acute respiratory infection,Females,Illawarra Shoalhaven,2009/2010,432.2
All acute respiratory infection,Females,Illawarra Shoalhaven,2010/2011,451.8
All acute respiratory infection,Females,Illawarra Shoalhaven,2011/2012,449.1
All acute respiratory infection,Females,Illawarra Shoalhaven,2012/2013,459.3
All acute respiratory infection,Females,Illawarra Shoalhaven,2013/2014,448.7
All acute respiratory infection,Females,Illawarra Shoalhaven,2014/2015,513.3
All acute respiratory infection,Females,Illawarra Shoalhaven,2015/2016,471.9
All acute respiratory infection,Females,Illawarra Shoalhaven,2016/2017,471.7
All acute respiratory infection,Females,Illawarra Shoalhaven,2017/2018,564.6
All acute respiratory infection,Females,Illawarra Shoalhaven,2018/2019,554.6
All acute respiratory infection,Females,Illawarra Shoalhaven,2019/2020,522.1
All acute respiratory infection,Females,Illawarra Shoalhaven,2020/2021,333.6
All acute respiratory infection,Females,Western Sydney,2001/2002,403.3
All acute respiratory infection,Females,Western Sydney,2002/2003,374.7
All acute respiratory infection,Females,Western Sydney,2003/2004,398.2
All acute respiratory infection,Females,Western Sydney,2004/2005,375.4
All acute respiratory infection,Females,Western Sydney,2005/2006,376.8
All acute respiratory infection,Females,Western Sydney,2006/2007,407.1
All acute respiratory infection,Females,Western Sydney,2007/2008,432.7
All acute respiratory infection,Females,Western Sydney,2008/2009,442.8
All acute respiratory infection,Females,Western Sydney,2009/2010,389.5
All acute respiratory infection,Females,Western Sydney,2010/2011,443.9
All acute respiratory infection,Females,Western Sydney,2011/2012,486.6
All acute respiratory infection,Females,Western Sydney,2012/2013,479.8
All acute respiratory infection,Females,Western Sydney,2013/2014,539.3
All acute respiratory infection,Females,Western Sydney,2014/2015,606.6
All acute respiratory infection,Females,Western Sydney,2015/2016,574.6
All acute respiratory infection,Females,Western Sydney,2016/2017,590.1
All acute respiratory infection,Females,Western Sydney,2017/2018,624.1
All acute respiratory infection,Females,Western Sydney,2018/2019,692.2
All acute respiratory infection,Females,Western Sydney,2019/2020,570.9
All acute respiratory infection,Females,Western Sydney,2020/2021,489
All acute respiratory infection,Females,Nepean Blue Mountains,2001/2002,539.4
All acute respiratory infection,Females,Nepean Blue Mountains,2002/2003,548.5
All acute respiratory infection,Females,Nepean Blue Mountains,2003/2004,567.5
All acute respiratory infection,Females,Nepean Blue Mountains,2004/2005,576.8
All acute respiratory infection,Females,Nepean Blue Mountains,2005/2006,544.4
All acute respiratory infection,Females,Nepean Blue Mountains,2006/2007,605.4
All acute respiratory infection,Females,Nepean Blue Mountains,2007/2008,688.3
All acute respiratory infection,Females,Nepean Blue Mountains,2008/2009,613.4
All acute respiratory infection,Females,Nepean Blue Mountains,2009/2010,567.9
All acute respiratory infection,Females,Nepean Blue Mountains,2010/2011,654.9
All acute respiratory infection,Females,Nepean Blue Mountains,2011/2012,617
All acute respiratory infection,Females,Nepean Blue Mountains,2012/2013,594.6
All acute respiratory infection,Females,Nepean Blue Mountains,2013/2014,608.8
All acute respiratory infection,Females,Nepean Blue Mountains,2014/2015,653.2
All acute respiratory infection,Females,Nepean Blue Mountains,2015/2016,658.4
All acute respiratory infection,Females,Nepean Blue Mountains,2016/2017,683
All acute respiratory infection,Females,Nepean Blue Mountains,2017/2018,804.2
All acute respiratory infection,Females,Nepean Blue Mountains,2018/2019,793.7
All acute respiratory infection,Females,Nepean Blue Mountains,2019/2020,694.4
All acute respiratory infection,Females,Nepean Blue Mountains,2020/2021,479.9
All acute respiratory infection,Females,Northern Sydney,2001/2002,323.3
All acute respiratory infection,Females,Northern Sydney,2002/2003,305.4
All acute respiratory infection,Females,Northern Sydney,2003/2004,342.8
All acute respiratory infection,Females,Northern Sydney,2004/2005,354.1
All acute respiratory infection,Females,Northern Sydney,2005/2006,362
All acute respiratory infection,Females,Northern Sydney,2006/2007,328.3
All acute respiratory infection,Females,Northern Sydney,2007/2008,374.9
All acute respiratory infection,Females,Northern Sydney,2008/2009,392.4
All acute respiratory infection,Females,Northern Sydney,2009/2010,374.1
All acute respiratory infection,Females,Northern Sydney,2010/2011,433.1
All acute respiratory infection,Females,Northern Sydney,2011/2012,448.1
All acute respiratory infection,Females,Northern Sydney,2012/2013,407.7
All acute respiratory infection,Females,Northern Sydney,2013/2014,395.8
All acute respiratory infection,Females,Northern Sydney,2014/2015,505.7
All acute respiratory infection,Females,Northern Sydney,2015/2016,500.9
All acute respiratory infection,Females,Northern Sydney,2016/2017,510.2
All acute respiratory infection,Females,Northern Sydney,2017/2018,521.4
All acute respiratory infection,Females,Northern Sydney,2018/2019,567.6
All acute respiratory infection,Females,Northern Sydney,2019/2020,490.1
All acute respiratory infection,Females,Northern Sydney,2020/2021,317
All acute respiratory infection,Females,Central Coast,2001/2002,385.5
All acute respiratory infection,Females,Central Coast,2002/2003,432.2
All acute respiratory infection,Females,Central Coast,2003/2004,429.8
All acute respiratory infection,Females,Central Coast,2004/2005,380.7
All acute respiratory infection,Females,Central Coast,2005/2006,432.5
All acute respiratory infection,Females,Central Coast,2006/2007,404.8
All acute respiratory infection,Females,Central Coast,2007/2008,419.6
All acute respiratory infection,Females,Central Coast,2008/2009,480.5
All acute respiratory infection,Females,Central Coast,2009/2010,465.5
All acute respiratory infection,Females,Central Coast,2010/2011,476.1
All acute respiratory infection,Females,Central Coast,2011/2012,469
All acute respiratory infection,Females,Central Coast,2012/2013,435
All acute respiratory infection,Females,Central Coast,2013/2014,447.4
All acute respiratory infection,Females,Central Coast,2014/2015,584.1
All acute respiratory infection,Females,Central Coast,2015/2016,589.9
All acute respiratory infection,Females,Central Coast,2016/2017,556.2
All acute respiratory infection,Females,Central Coast,2017/2018,631
All acute respiratory infection,Females,Central Coast,2018/2019,673.9
All acute respiratory infection,Females,Central Coast,2019/2020,609.1
All acute respiratory infection,Females,Central Coast,2020/2021,438.5
All acute respiratory infection,Females,Hunter New England,2001/2002,548.3
All acute respiratory infection,Females,Hunter New England,2002/2003,581.7
All acute respiratory infection,Females,Hunter New England,2003/2004,586.1
All acute respiratory infection,Females,Hunter New England,2004/2005,564.5
All acute respiratory infection,Females,Hunter New England,2005/2006,535.7
All acute respiratory infection,Females,Hunter New England,2006/2007,507.9
All acute respiratory infection,Females,Hunter New England,2007/2008,597.2
All acute respiratory infection,Females,Hunter New England,2008/2009,511
All acute respiratory infection,Females,Hunter New England,2009/2010,508.6
All acute respiratory infection,Females,Hunter New England,2010/2011,558.8
All acute respiratory infection,Females,Hunter New England,2011/2012,557.8
All acute respiratory infection,Females,Hunter New England,2012/2013,504.4
All acute respiratory infection,Females,Hunter New England,2013/2014,544
All acute respiratory infection,Females,Hunter New England,2014/2015,602.9
All acute respiratory infection,Females,Hunter New England,2015/2016,610.9
All acute respiratory infection,Females,Hunter New England,2016/2017,667.2
All acute respiratory infection,Females,Hunter New England,2017/2018,717.6
All acute respiratory infection,Females,Hunter New England,2018/2019,648.6
All acute respiratory infection,Females,Hunter New England,2019/2020,566.8
All acute respiratory infection,Females,Hunter New England,2020/2021,382.3
All acute respiratory infection,Females,Northern NSW,2001/2002,695.8
All acute respiratory infection,Females,Northern NSW,2002/2003,692.3
All acute respiratory infection,Females,Northern NSW,2003/2004,668.6
All acute respiratory infection,Females,Northern NSW,2004/2005,577.4
All acute respiratory infection,Females,Northern NSW,2005/2006,626.1
All acute respiratory infection,Females,Northern NSW,2006/2007,561.6
All acute respiratory infection,Females,Northern NSW,2007/2008,704.9
All acute respiratory infection,Females,Northern NSW,2008/2009,709.4
All acute respiratory infection,Females,Northern NSW,2009/2010,682.8
All acute respiratory infection,Females,Northern NSW,2010/2011,659.4
All acute respiratory infection,Females,Northern NSW,2011/2012,633
All acute respiratory infection,Females,Northern NSW,2012/2013,614.5
All acute respiratory infection,Females,Northern NSW,2013/2014,567.3
All acute respiratory infection,Females,Northern NSW,2014/2015,671.8
All acute respiratory infection,Females,Northern NSW,2015/2016,723.2
All acute respiratory infection,Females,Northern NSW,2016/2017,650.7
All acute respiratory infection,Females,Northern NSW,2017/2018,730.6
All acute respiratory infection,Females,Northern NSW,2018/2019,734.9
All acute respiratory infection,Females,Northern NSW,2019/2020,675.3
All acute respiratory infection,Females,Northern NSW,2020/2021,449.1
All acute respiratory infection,Females,Mid North Coast,2001/2002,686.5
All acute respiratory infection,Females,Mid North Coast,2002/2003,658.3
All acute respiratory infection,Females,Mid North Coast,2003/2004,729.7
All acute respiratory infection,Females,Mid North Coast,2004/2005,696.1
All acute respiratory infection,Females,Mid North Coast,2005/2006,578.8
All acute respiratory infection,Females,Mid North Coast,2006/2007,623.8
All acute respiratory infection,Females,Mid North Coast,2007/2008,741.8
All acute respiratory infection,Females,Mid North Coast,2008/2009,723.7
All acute respiratory infection,Females,Mid North Coast,2009/2010,628.4
All acute respiratory infection,Females,Mid North Coast,2010/2011,628.2
All acute respiratory infection,Females,Mid North Coast,2011/2012,616.7
All acute respiratory infection,Females,Mid North Coast,2012/2013,578.8
All acute respiratory infection,Females,Mid North Coast,2013/2014,613.5
All acute respiratory infection,Females,Mid North Coast,2014/2015,619.1
All acute respiratory infection,Females,Mid North Coast,2015/2016,645.8
All acute respiratory infection,Females,Mid North Coast,2016/2017,645.3
All acute respiratory infection,Females,Mid North Coast,2017/2018,643.2
All acute respiratory infection,Females,Mid North Coast,2018/2019,680.3
All acute respiratory infection,Females,Mid North Coast,2019/2020,577.9
All acute respiratory infection,Females,Mid North Coast,2020/2021,481
All acute respiratory infection,Females,Southern NSW,2001/2002,642
All acute respiratory infection,Females,Southern NSW,2002/2003,625
All acute respiratory infection,Females,Southern NSW,2003/2004,638.1
All acute respiratory infection,Females,Southern NSW,2004/2005,621.6
All acute respiratory infection,Females,Southern NSW,2005/2006,585.3
All acute respiratory infection,Females,Southern NSW,2006/2007,618.8
All acute respiratory infection,Females,Southern NSW,2007/2008,626.3
All acute respiratory infection,Females,Southern NSW,2008/2009,685.6
All acute respiratory infection,Females,Southern NSW,2009/2010,608.6
All acute respiratory infection,Females,Southern NSW,2010/2011,723.1
All acute respiratory infection,Females,Southern NSW,2011/2012,679
All acute respiratory infection,Females,Southern NSW,2012/2013,639.1
All acute respiratory infection,Females,Southern NSW,2013/2014,597
All acute respiratory infection,Females,Southern NSW,2014/2015,637.5
All acute respiratory infection,Females,Southern NSW,2015/2016,708.9
All acute respiratory infection,Females,Southern NSW,2016/2017,735.1
All acute respiratory infection,Females,Southern NSW,2017/2018,767.5
All acute respiratory infection,Females,Southern NSW,2018/2019,723.9
All acute respiratory infection,Females,Southern NSW,2019/2020,600.9
All acute respiratory infection,Females,Southern NSW,2020/2021,522.7
All acute respiratory infection,Females,Murrumbidgee,2001/2002,810.4
All acute respiratory infection,Females,Murrumbidgee,2002/2003,832.5
All acute respiratory infection,Females,Murrumbidgee,2003/2004,884
All acute respiratory infection,Females,Murrumbidgee,2004/2005,843.6
All acute respiratory infection,Females,Murrumbidgee,2005/2006,821.3
All acute respiratory infection,Females,Murrumbidgee,2006/2007,770.6
All acute respiratory infection,Females,Murrumbidgee,2007/2008,912.8
All acute respiratory infection,Females,Murrumbidgee,2008/2009,856.7
All acute respiratory infection,Females,Murrumbidgee,2009/2010,783.7
All acute respiratory infection,Females,Murrumbidgee,2010/2011,865.3
All acute respiratory infection,Females,Murrumbidgee,2011/2012,801.9
All acute respiratory infection,Females,Murrumbidgee,2012/2013,741.9
All acute respiratory infection,Females,Murrumbidgee,2013/2014,766.9
All acute respiratory infection,Females,Murrumbidgee,2014/2015,789.5
All acute respiratory infection,Females,Murrumbidgee,2015/2016,886.9
All acute respiratory infection,Females,Murrumbidgee,2016/2017,"1,057.70"
All acute respiratory infection,Females,Murrumbidgee,2017/2018,"1,029.20"
All acute respiratory infection,Females,Murrumbidgee,2018/2019,"1,092.90"
All acute respiratory infection,Females,Murrumbidgee,2019/2020,899.9
All acute respiratory infection,Females,Murrumbidgee,2020/2021,597.1
All acute respiratory infection,Females,Western NSW,2001/2002,"1,035.40"
All acute respiratory infection,Females,Western NSW,2002/2003,"1,012.00"
All acute respiratory infection,Females,Western NSW,2003/2004,"1,051.00"
All acute respiratory infection,Females,Western NSW,2004/2005,896.6
All acute respiratory infection,Females,Western NSW,2005/2006,"1,063.10"
All acute respiratory infection,Females,Western NSW,2006/2007,817.8
All acute respiratory infection,Females,Western NSW,2007/2008,"1,024.70"
All acute respiratory infection,Females,Western NSW,2008/2009,914.7
All acute respiratory infection,Females,Western NSW,2009/2010,874.2
All acute respiratory infection,Females,Western NSW,2010/2011,950
All acute respiratory infection,Females,Western NSW,2011/2012,892.8
All acute respiratory infection,Females,Western NSW,2012/2013,803.7
All acute respiratory infection,Females,Western NSW,2013/2014,845
All acute respiratory infection,Females,Western NSW,2014/2015,817.1
All acute respiratory infection,Females,Western NSW,2015/2016,885.2
All acute respiratory infection,Females,Western NSW,2016/2017,"1,036.70"
All acute respiratory infection,Females,Western NSW,2017/2018,"1,009.00"
All acute respiratory infection,Females,Western NSW,2018/2019,976.2
All acute respiratory infection,Females,Western NSW,2019/2020,884.9
All acute respiratory infection,Females,Western NSW,2020/2021,588.7
